"institution","file","n_chars","found_sections","status"
"hiof","hiof_LMBENG102171_2026_V_chromote.txt",2053,4,"OK"
"hiof","hiof_LMBENG103171_2026_V_chromote.txt",6428,4,"OK"
"hiof","hiof_LMBENG112211_2026_V_chromote.txt",1842,4,"OK"
"hiof","hiof_LMBENG113211_2026_V_chromote.txt",6363,4,"OK"
"hiof","hiof_LMBENG402171_2026_V_chromote.txt",4938,3,"OK"
"hiof","hiof_LMBKHV101171_2026_V_chromote.txt",7380,4,"OK"
"hiof","hiof_LMBKHV102171_2026_V_chromote.txt",7310,5,"OK"
"hiof","hiof_LMBKRLE101171_2026_V_chromote.txt",3734,3,"OK"
"hiof","hiof_LMBKRO101211_2026_V_chromote.txt",6972,3,"OK"
"hiof","hiof_LMBKRO111211_2026_V_chromote.txt",8005,4,"OK"
"hiof","hiof_LMBMAT101231_2025_H_chromote.txt",7088,4,"OK"
"hiof","hiof_LMBMAT402171_2026_V_chromote.txt",4763,4,"OK"
"hiof","hiof_LMBNOR102181_2026_V_chromote.txt",5813,4,"OK"
"hiof","hiof_LMBNOR103171_2026_V_chromote.txt",5515,4,"OK"
"hiof","hiof_LMBPED102241_2025_H_chromote.txt",4647,4,"OK"
"hiof","hiof_LMBPED103171_2026_V_chromote.txt",7004,3,"OK"
"hiof","hiof_LMBPED104171_2026_V_chromote.txt",5637,4,"OK"
"hiof","hiof_LMBPED403241_2025_H_chromote.txt",5075,3,"OK"
"hiof","hiof_LMBSAM102171_2026_V_chromote.txt",9720,4,"OK"
"hiof","hiof_LMBVIT404201_2026_V_chromote.txt",4409,4,"OK"
"hiof","hiof_LMUENG102211_2026_V_chromote.txt",2103,4,"OK"
"hiof","hiof_LMUENG103211_2026_V_chromote.txt",6491,3,"OK"
"hiof","hiof_LMUENG402171_2026_V_chromote.txt",4875,3,"OK"
"hiof","hiof_LMUFRA101241_2025_H_chromote.txt",5631,4,"OK"
"hiof","hiof_LMUFRA104171_2026_V_chromote.txt",6545,4,"OK"
"hiof","hiof_LMUFRA114211_2026_V_chromote.txt",6990,4,"OK"
"hiof","hiof_LMUKHV101171_2026_V_chromote.txt",7384,4,"OK"
"hiof","hiof_LMUKHV102211_2026_V_chromote.txt",6765,5,"OK"
"hiof","hiof_LMUKHV103211_2026_V_chromote.txt",6835,5,"OK"
"hiof","hiof_LMUKRLE101211_2026_V_chromote.txt",3689,3,"OK"
"hiof","hiof_LMUKRLE103211_2026_V_chromote.txt",4148,3,"OK"
"hiof","hiof_LMUKRLE111211_2026_V_chromote.txt",3733,3,"OK"
"hiof","hiof_LMUKRLE113231_2026_V_chromote.txt",3923,3,"OK"
"hiof","hiof_LMUKRO101211_2026_V_chromote.txt",6927,3,"OK"
"hiof","hiof_LMUMAT102191_2026_V_chromote.txt",11061,4,"OK"
"hiof","hiof_LMUMAT103241_2025_H_chromote.txt",6357,4,"OK"
"hiof","hiof_LMUMAT402171_2026_V_chromote.txt",4525,4,"OK"
"hiof","hiof_LMUNOR102171_2026_V_chromote.txt",6138,4,"OK"
"hiof","hiof_LMUNOR104211_2026_V_chromote.txt",5084,5,"OK"
"hiof","hiof_LMUPED102241_2025_H_chromote.txt",4666,4,"OK"
"hiof","hiof_LMUPED103171_2026_V_chromote.txt",7021,3,"OK"
"hiof","hiof_LMUPED104171_2026_V_chromote.txt",5624,3,"OK"
"hiof","hiof_LMUPED403241_2025_H_chromote.txt",5015,3,"OK"
"hiof","hiof_LMUSAM102191_2026_V_chromote.txt",9130,4,"OK"
"hiof","hiof_LMUSAM104211_2026_V_chromote.txt",7840,4,"OK"
"hiof","hiof_LMUSAM112211_2026_V_chromote.txt",9267,4,"OK"
"hiof","hiof_LMUSAM114211_2026_V_chromote.txt",7914,4,"OK"
"hiof","hiof_LMUSPA101241_2025_H_chromote.txt",6663,4,"OK"
"hiof","hiof_LMUSPA104171_2026_V_chromote.txt",7915,4,"OK"
"hiof","hiof_LMUSPA114211_2026_V_chromote.txt",7966,4,"OK"
"hiof","hiof_LMUTYS101241_2025_H_chromote.txt",7008,4,"OK"
"hiof","hiof_LMUTYS104221_2026_V_chromote.txt",7697,4,"OK"
"hiof","hiof_LMUTYS112221_2026_V_chromote.txt",6860,4,"OK"
"hiof","hiof_LMUTYS114221_2026_V_chromote.txt",7356,4,"OK"
"hiof","hiof_LMUTYS402171_2026_V_chromote.txt",5397,3,"OK"
"hiof","hiof_LMUVIT404201_2026_V_chromote.txt",4503,4,"OK"
"hivolda","hivolda_MGL17DKL1_2026_V_chromote.txt",584,1,"OK"
"hivolda","hivolda_MGL17EN1A1_2026_V_chromote.txt",4108,3,"OK"
"hivolda","hivolda_MGL17EN1B1_2026_V_chromote.txt",4633,4,"OK"
"hivolda","hivolda_MGL17EN1B21_2026_V_chromote.txt",4327,4,"OK"
"hivolda","hivolda_MGL17FOUMA1_2026_V_chromote.txt",2594,3,"OK"
