"institution","status","file"
"hivolda","Mangler hovedseksjoner",2
"hvl","Mangler hovedseksjoner",1
"inn","Mangler hovedseksjoner",18
"nord","Mangler hovedseksjoner",12
"oslomet","Mangler hovedseksjoner",1
"uio","Mangler hovedseksjoner",1
"uis","Mangler hovedseksjoner",75
"uit","Mangler hovedseksjoner",1
"hiof","OK",56
"hivolda","OK",85
"hvl","OK",267
"inn","OK",213
"mf","OK",23
"nih","OK",13
"nla","OK",52
"nmbu","OK",11
"nord","OK",230
"ntnu","OK",234
"oslomet","OK",133
"uia","OK",98
"uib","OK",81
"uio","OK",47
"uis","OK",89
"uit","OK",261
