"institution","n_files","total_txt_files","n_hits","n_innlevering","n_prosjekt","n_refleksjon","n_praksis","n_presentasjon","coverage_ratio"
"hvl",264,268,2106,1780,1116,1613,1826,1220,0.985
"oslomet",132,134,1998,1849,1147,1817,1695,1332,0.985
"uis",162,164,1857,1785,1354,704,688,623,0.988
"ntnu",222,234,1448,1249,586,1011,920,766,0.949
"inn",209,231,1254,1132,434,781,1159,646,0.905
"uit",257,262,1236,1097,671,683,992,700,0.981
"nord",230,242,1156,998,369,543,832,545,0.95
"uia",95,98,782,670,398,565,764,484,0.969
"hiof",56,56,756,627,163,665,756,635,1
"nla",52,52,571,522,390,534,333,226,1
"uio",45,48,438,403,236,279,289,170,0.938
"hivolda",79,87,375,186,56,275,266,144,0.908
"nmbu",11,11,301,301,172,246,280,174,1
"uib",71,81,234,98,55,91,102,90,0.877
"mf",23,23,170,130,42,129,128,48,1
"nih",13,13,113,106,36,84,73,73,1
