"course_code_norm","year","hv","url"
"LMGRLIKT20-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmgrlikt20.html"
"LMAGENT21-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmagent21.html"
"LMUKHV10321-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmukhv10321.html"
"LMUKHV10421-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmukhv10421.html"
"LMUKHV11321-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmukhv11321.html"
"LMUKRLE10321-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmukrle10321.html"
"LMUKRLE10421-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmukrle10421.html"
"LMUKRLE11221-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmukrle11221.html"
"LMUKRO11321-1",2025,"H","https://www.hiof.no/studier/emner/lusp/lusp/2025/host/lmukro11321.html"
"LMUMAT10420-1",2025,"H","https://www.hiof.no/studier/emner/lusp/lusp/2025/host/lmumat10420.html"
"LMUNAT10218-1",2025,"H","https://www.hiof.no/studier/emner/lusp/lusp/2025/host/lmunat10218.html"
"LMUNAT11221-1",2025,"H","https://www.hiof.no/studier/emner/lusp/lusp/2025/host/lmunat11221.html"
"LMBMAT10220-1",2025,"H","https://www.hiof.no/studier/emner/lusp/lusp/2025/host/lmbmat10220.html"
"LMUSPA10217-1",2025,"H","https://www.hiof.no/studier/emner/lusp/lusp/2025/host/lmuspa10217.html"
"LMUSPA11219-1",2025,"H","https://www.hiof.no/studier/emner/lusp/lusp/2025/host/lmuspa11219.html"
"LMBMAT10320-1",2025,"H","https://www.hiof.no/studier/emner/lusp/lusp/2025/host/lmbmat10320.html"
"LMBNAT10217-1",2025,"H","https://www.hiof.no/studier/emner/lusp/lusp/2025/host/lmbnat10217.html"
"LMUFRA11221-1",2025,"H","https://www.hiof.no/studier/emner/lusp/lusp/2025/host/lmufra11221.html"
"LMUKRO10317-1",2025,"H","https://www.hiof.no/studier/emner/lusp/lusp/2025/host/lmukro10317.html"
"LMUFRA10217-1",2025,"H","https://www.hiof.no/studier/emner/lusp/lusp/2025/host/lmufra10217.html"
"LMUTYS10422-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmutys10422.html"
"LMUTYS11222-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmutys11222.html"
"LMUTYS11422-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmutys11422.html"
"LMUTYS40117-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmutys40117.html"
"LMUTYS40217-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmutys40217.html"
"LMUSPA10317-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmuspa10317.html"
"LMUSPA10417-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmuspa10417.html"
"LMUSPA11421-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmuspa11421.html"
"LMUTYS10317-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmutys10317.html"
"LMUTYS10417-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmutys10417.html"
"LMUTYS10117-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmutys10117.html"
"LMUSPA10117-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmuspa10117.html"
"LMUFRA10117-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmufra10117.html"
"LMBNAT10117-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbnat10117.html"
"LMUPED40317-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmuped40317.html"
"LMUPED10217-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmuped10217.html"
"LMBMAT10119-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbmat10119.html"
"LMUNAT10118-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmunat10118.html"
"LMUMAT10320-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmumat10320.html"
"LMBPED40317-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbped40317.html"
"LMBPED10217-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbped10217.html"
"LMUSAM11421-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmusam11421.html"
"LMUTYS40317-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmutys40317.html"
"LMUTYS40517-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmutys40517.html"
"LMUVIT40420-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmuvit40420.html"
"LMBNOR10417-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbnor10417.html"
"LMBNOR40117-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbnor40117.html"
"LMBNOR40217-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbnor40217.html"
"LMBNOR40322-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbnor40322.html"
"LMBNOR40517-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbnor40517.html"
"LMBNOR41320-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbnor41320.html"
"LMBPED10117-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbped10117.html"
"LMBPED10317-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbped10317.html"
"LMBPED10417-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbped10417.html"
"LMBPED10522-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbped10522.html"
"LMBPED40117-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbped40117.html"
"LMBPED40217-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbped40217.html"
"LMBPED40517-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbped40517.html"
"LMBSAM10117-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbsam10117.html"
"LMBSAM10217-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbsam10217.html"
"LMBVIT40420-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbvit40420.html"
"LMBMAT40317-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbmat40317.html"
"LMBMAT40517-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbmat40517.html"
"LMBMAT41322-1",2026,"V","https://www.hiof.no/studier/emner/lusp/lusp/2026/var/lmbmat41322.html"
