"course_code_norm","year","hv","url"
"MGL5-10SA1A-1",2026,"V","https://www.hivolda.no/emne/MGL5-10SA1A"
"MGL5-10SA1B-1",2026,"V","https://www.hivolda.no/emne/MGL5-10SA1B"
"MGL5-10SA2A-2",2026,"V","https://www.hivolda.no/emne/MGL5-10SA2A"
"MGL5-10SA2B-1",2026,"V","https://www.hivolda.no/emne/MGL5-10SA2B"
"MGL5-10SP1-1",2026,"V","https://www.hivolda.no/emne/MGL5-10SP1"
"MGL5-10SP2-1",2026,"V","https://www.hivolda.no/emne/MGL5-10SP2"
"MGL1-7NO1B-1",2026,"V","https://www.hivolda.no/emne/MGL1-7NO1B"
"MGL1-7NO2A-1",2026,"V","https://www.hivolda.no/emne/MGL1-7NO2A"
"MGL1-7NO2B-1",2026,"V","https://www.hivolda.no/emne/MGL1-7NO2B"
"MGL1-7PE1-1",2026,"V","https://www.hivolda.no/emne/MGL1-7PE1"
"MGL1-7PE2-1",2026,"V","https://www.hivolda.no/emne/MGL1-7PE2"
"MGL1-7PR1-1",2026,"V","https://www.hivolda.no/emne/MGL1-7PR1"
"MGL1-7PR2-1",2026,"V","https://www.hivolda.no/emne/MGL1-7PR2"
"MGL1-7PR3-1",2026,"V","https://www.hivolda.no/emne/MGL1-7PR3"
"MGL1-7PR4-1",2026,"V","https://www.hivolda.no/emne/MGL1-7PR4"
"MGL1-7PRO-1",2026,"V","https://www.hivolda.no/emne/MGL1-7PRO"
"MGL1-7SP1-1",2026,"V","https://www.hivolda.no/emne/MGL1-7SP1"
"MGL1-7SP2-1",2026,"V","https://www.hivolda.no/emne/MGL1-7SP2"
"MGL5-10MA1A2-1",2026,"V","https://www.hivolda.no/emne/MGL5-10MA1A2"
"MGL1-7DKL-1",2026,"V","https://www.hivolda.no/emne/MGL1-7DKL"
"MGL1-7EN1A-1",2026,"V","https://www.hivolda.no/emne/MGL1-7EN1A"
"MGL1-7EN1B-1",2026,"V","https://www.hivolda.no/emne/MGL1-7EN1B"
"MGL1-7EN1B2-1",2026,"V","https://www.hivolda.no/emne/MGL1-7EN1B2"
"MGL1-7FOUMA-1",2026,"V","https://www.hivolda.no/emne/MGL1-7FOUMA"
"MGL1-7FOUNO-1",2026,"V","https://www.hivolda.no/emne/MGL1-7FOUNO"
"MGL1-7KH1A-1",2026,"V","https://www.hivolda.no/emne/MGL1-7KH1A"
"MGL1-7KH1B-1",2026,"V","https://www.hivolda.no/emne/MGL1-7KH1B"
"MGL1-7KR1-1",2026,"V","https://www.hivolda.no/emne/MGL1-7KR1"
"MGL1-7KRLE-1",2026,"V","https://www.hivolda.no/emne/MGL1-7KRLE"
"MGL1-7MA1A2-1",2026,"V","https://www.hivolda.no/emne/MGL1-7MA1A2"
"MGL1-7MA1B2-1",2026,"V","https://www.hivolda.no/emne/MGL1-7MA1B2"
"MGL1-7MA2A-1",2026,"V","https://www.hivolda.no/emne/MGL1-7MA2A"
