"course_code_norm","year","hv","url"
"MGUUB201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUUB201"
"MGBEN101-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBEN101"
"MGBEN104-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBEN104"
"MGBEN201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBEN201"
"MGBEN204-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBEN204"
"MGBEN301-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBEN301"
"MGBEN401-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBEN401"
"MGBENS101-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBENS101"
"MGBMU301-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBMU301"
"MGBNA201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBNA201"
"MGBNA241-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBNA241"
"MGBNA301-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBNA301"
"MGBPE201E-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBPE201E"
"MGBPP101-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBPP101"
"MGBPP201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBPP201"
"MGUEN101-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUEN101"
"MGUEN102-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUEN102"
"MGUEN201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUEN201"
"MGUEN202-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUEN202"
"MGUEN301-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUEN301"
"MGUEN302-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUEN302"
"MGBSA301-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBSA301"
"MGUKR301-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUKR301"
"MGUPP101-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUPP101"
"MGUPP201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUPP201"
"MGUEN401-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUEN401"
"MGUEN402-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUEN402"
"MGUSA301-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUSA301"
"MGUSA401-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUSA401"
"MGUSA402-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUSA402"
"MGUUB101-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUUB101"
"MGUMU301-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUMU301"
"MGUNA231-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUNA231"
"MGUNA301-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUNA301"
"MGUNA302-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUNA302"
"MGUNA401-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUNA401"
"MGUNA402-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUNA402"
"MGBUB101-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBUB101"
"MGBUB201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBUB201"
"LUPEKI204-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/LUPEKI204"
"MGBKR301-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBKR301"
"MGBENS201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBENS201"
"MGBBNM501-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBBNM501"
"MGBBNM502-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBBNM502"
"MGBBNM503-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBBNM503"
"MGBBNM550-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBBNM550"
"MGBEN501-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBEN501"
"MGBEN502-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBEN502"
"MGBEN503-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBEN503"
"MGBEN550-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBEN550"
"MGBNA501-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBNA501"
"MGUEN501-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUEN501"
"MGUEN502-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUEN502"
"MGUEN503-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUEN503"
"MGUEN550-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUEN550"
"MGUMA501-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUMA501"
"MGUPP550-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUPP550"
"MGUNA501-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUNA501"
"MGUSA503-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUSA503"
"MGBSA503-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBSA503"
"MGBPP550-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBPP550"
"MGBPP501-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBPP501"
"MGUPP501-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUPP501"
"MGUMA503-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUMA503"
"MGUNO101-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUNO101"
"MGUNO102-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUNO102"
"MGUNO201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUNO201"
"MGUMU401-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUMU401"
"MGUNA101-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUNA101"
"MGUNA131-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUNA131"
"MGUNA201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUNA201"
"MGUMU101-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUMU101"
"MGUMU131-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUMU131"
"MGUMU201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUMU201"
"MGUMU231-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUMU231"
"MGUSP101-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUSP101"
"MGUSP201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUSP201"
"MGUSA302-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUSA302"
"MGUSA201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUSA201"
"MGUSA202-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUSA202"
"MGUSA231-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUSA231"
"MGBPE201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGBPE201"
"MGUKH101-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUKH101"
"MGUKH131-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUKH131"
"MGUKH201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUKH201"
"MGUKH231-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUKH231"
"MGUKH301-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUKH301"
"MGUKH401-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUKH401"
"MGUKR101-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUKR101"
"MGUKR131-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUKR131"
"MGUKR201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUKR201"
"MGUPR101-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUPR101"
"MGUPR201-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUPR201"
"MGUPR301-1",NA,NA,"https://www.hvl.no/studier/studieprogram/emne/MGUPR301"
