"course_code_norm","year","hv","url"
"2ENLBA-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2ENLBA-1/2026-var"
"2ENL512-1-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2ENL512-1-1/2026-var"
"2ENL512-2-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2ENL512-2-1/2026-var"
"2ENL51-7-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2ENL51-7-1/2026-var"
"2ENL51-8-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2ENL51-8-1/2026-var"
"2PRALU2-32-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2PRALU2-32-1/2026-var"
"2PRALU2-4-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2PRALU2-4-1/2026-var"
"2SFL51-1-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2SFL51-1-1/2026-var"
"2SFL51-2-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2SFL51-2-1/2026-var"
"2SFL51-3-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2SFL51-3-1/2026-var"
"2SFL51-4-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2SFL51-4-1/2026-var"
"2ENL512-41-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2ENL512-41-1/2026-var"
"2ENL51-14-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2ENL51-14-1/2026-var"
"2ENL51-15-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2ENL51-15-1/2026-var"
"2PRALU21-2-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2PRALU21-2-1/2026-var"
"2PRALU2-22-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2PRALU2-22-1/2026-var"
"2SFLD51-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/2SFLD51-1/2026-var"
"KROI1001-1",2026,"V","https://studiekatalog.edutorium.no/inn/nb/emne/KROI1001-1/2026-var"
