"institution","course_code","url","fulltekst_renset","arbeidskrav","status_code"
"inn","inn",NA,"## Statusmelding
- 2025 Autumn
- 2024 Autumn
- 2023 Autumn
- Course code
2ENL51-10
Number of credits
10
Teaching semester
2025 Autumn
Language of instruction
English
Campus
Hamar
Required prerequisite knowledge
None
- Course code
2ENL51-10
- Number of credits
10
- Teaching semester
2025 Autumn
- Language of instruction
English
- Campus
Hamar
- Required prerequisite knowledge
None
This course offers a broad introduction to Shakespeare, with an emphasis on the texts as well as relevant ideological, literary and theatrical contexts. Renaissance drama is central, but poems and sonnets are also represented on the syllabus. The course also considers the reception of Shakespeare’s works, with special emphasis on influential critical notions and adaptations, and contemporary dissemination of Shakespeare’s works in education and culture.
- A selection of plays and poems by Shakespeare
- A selection of adaptations (film and stage production) of Shakespeare’s plays and poems
- A selection of theoretical and critical texts concerned with Shakespeare’s plays and poems
- Perspectives on the use of Shakespeare in different forms of education and dissemination
## Learning Outcome
Upon successful completion of the course, the student will have achieved the following learning outcomes:
The student
- has thorough knowledge about a broad selection of plays and poems by William Shakespeare
- has knowledge about the history and culture of early modern England and the conditions under which the texts were conceived and performed
- has knowledge about reception and adaptation of Shakespeare’s works and their relevance for our contemporary culture
- has broad knowledge about literary theory and devices
The student
- communicates fluently and with precision in oral and written English
- can analyse and interpret Shakespeare’s works formally and thematically
- can place Shakespeare's works in their literary and cultural context
The student
- can discuss and communicate about relevant material
- has the ability to analyse texts and communicate professionally
- can reflect on how the knowledge and skills developed in the course may be used in the teaching and dissemination of literature
Campus-based seminars. The learning platform Canvas is used for course information and guidance. The course requires regular and active participation in seminars.
Practice
Practice is an integrated part of the subjects included in the 5-year Lecturer Education in Language and Literature. All the courses in the program, together with the practical training, have responsibility for ensuring that students develop professional competence and a strong teacher identity.
In order to take the exam, the students must pass the following requirements:
- An attendance record of at least 75 % according to the semester plan. Students are responsible for registration of attendance
- Two or more obligatory assignments
- All
The exam is graded on a scale from A to F. A is the highest pass grade and E is the lowest pass grade.
## Reading list",NA,NA
"inn","inn",NA,"## Statusmelding
- 2025 Autumn
- 2024 Autumn
- 2023 Autumn
- Course code
2ENL51-11
Number of credits
10
Teaching semester
2025 Autumn
Language of instruction
English
Campus
Hamar
Required prerequisite knowledge
None
- Course code
2ENL51-11
- Number of credits
10
- Teaching semester
2025 Autumn
- Language of instruction
English
- Campus
Hamar
- Required prerequisite knowledge
None
- This is an intermediate level course which gives an overview of British and Irish history and culture relevant for understanding present-day British and Irish society. The course offers fresh insight and perspectives on contemporary society in Britain and Ireland.
- During the course, the students will gain a broader understanding of recent political developments like devolution, the Northern Ireland Peace Process, the Scottish Independence movement and Brexit. British and Irish identities will be explored from national, regional, ethnic, racial, religious and class perspectives, providing students with an appreciation of the cultural and social impact of literature, film, artistic expressions, music and sport on the British and Irish character.
- The course will enhance the student’s skills in academic writing and critical thinking, as well as training his/her competence in finding, using and referring to appropriate sources.
- The course provides students with a foundation for further studies of Britaind and Ireland as an area.
## Learning Outcome
Upon successful completion of the course, the student will have achieved the following learning outcomes:
The student
- has knowledge, and understanding of, British and Irish culture and society in a historical perspective
- has an understanding of the nature of national identities in Britain and Ireland today
- has an overview of the development of Britishness over time, and the particular challenges facing this identity today
- has basic knowledge about theories relevant for the study of sociology
The student
- can discuss in depth topics relevant for the course
- can apply theoretical perspectives in discussing national identities
- can demonstrate an understanding of, and respect for different cultures
- can keep up to date with current affairs
The student
- can communicate important academic subject matters such as theories, problems and solutions, both in writing and orally
- has insight into relevant academic and professional ethical issues
- can plan and carry out relevant assignments and projects over time, alone or as part of a group, and in accordance with ethical requirements and principles
- can exchange opinions and experiences with others with a background in the field, thereby contributing to the development of good practice
Teaching takes the form of interactive lectures and seminars, student presentations and discussions. A digital learning platform is used for course information and guidance. Regular and active participation in seminars is required.
Practice
Practice is an integrated part of the subjects included in the 5-year Lecturer Education in Language and Literature. All the courses in the program, together with the practical training, have responsibility for ensuring that students develop professional competence and a strong teacher identity.
- An attendance record of at least 75 % according to the semester plan. Students are responsible for registration of attendance
- 3 assignments (1 oral and 2 written) within specified deadlines for the course. The assignments must be approved by the teacher no later than 2 weeks before the exam
A portfolio consisting of two of written assignments. The portfolio will be graded on a scale from A to F. A is the highest pass grade and E is the lowest pass grade. Both content and English language skills must satisfy minimum requirements in order for a candidate to obtain a pass grade.
## Reading list",NA,NA
"inn","inn",NA,"## Statusmelding
- 2025 Autumn
- 2024 Autumn
- 2023 Autumn
- Course code
2ENL51-12
Number of credits
10
Teaching semester
2025 Autumn
Language of instruction
English
Campus
Hamar
Required prerequisite knowledge
None
- Course code
2ENL51-12
- Number of credits
10
- Teaching semester
2025 Autumn
- Language of instruction
English
- Campus
Hamar
- Required prerequisite knowledge
None
- Introduction to the analysis of authentic language data, both spoken and written, with a particular emphasis on features that distinguish spoken and written language, pragmatic features, and features that may contribute to the perceived fluency of spoken English
- Central documents and theoretical perspectives relating to the description and assessment of spoken language and communicative competence
- Conversation analysis and pragmatics
## Learning Outcome
Upon successful completion of the course, the student will have achieved the following learning outcomes:
The student
- has knowledge about central linguistic differences between spoken and written texts, and about what motivates these differences
- has knowledge about linguistic features that may contribute to the perceived fluency of spoken English, such as the distribution of pauses and the use of discourse markers
- has knowledge about pragmatic features and the use of communication strategies in spoken English (speaking and listening)
The student
- is able to identify and explain distinctive linguistic features in authentic English language data from spoken texts
- is able to present and discuss the constructs of communicative competence and fluency and central descriptions of spoken communicative competence in theory, research and language assessment documents and materials
- is familiar with theory related to pragmatic features and communication strategies in spoken English
The student
- has insight into relevant academic and professional ethical issues relevant for the study of spoken language
- can plan and carry out relevant assignments and projects over time, alone or as part of a group, and in accordance with ethical requirements and principles
- can communicate important academic subject matters such as theories, problems and solutions, both in writing and orally
- can exchange opinions and experiences with others with a background in the field, thereby contributing to the development of good practice
Teaching takes the form of interactive lectures and seminars. The learning platform Canvas is used for course information and guidance. The course requires regular and active participation in seminars as well as in work with exercises in and out of class.
Practice
Practice is an integrated part of the subjects included in the 5-year Lecturer Education in Language and Literature. All the courses in the program, together with the practical training, have responsibility for ensuring that students develop professional competence and a strong teacher identity.
- Submission of 1-4 assignments within specified deadlines during the course. The assignment(s) must be approved by the teacher no later than 2 weeks before the exam
- An attendance record of at least 75 % according to the semester plan. Students are responsible for registration of attendance
An individual oral examination, graded on a scale from A to F. A is the highest pass grade and E is the lowest pass grade. Both content and English language skills must satisfy minimum requirements in order for a candidate to obtain a pass grade.
## Reading list",NA,NA
"inn","inn",NA,"## Statusmelding
- 2025 Autumn
- 2024 Autumn
- 2023 Autumn
- Course code
2ENL51-13
Number of credits
10
Teaching semester
2025 Autumn
Language of instruction
English
Campus
Hamar
Required prerequisite knowledge
None
- Course code
2ENL51-13
- Number of credits
10
- Teaching semester
2025 Autumn
- Language of instruction
English
- Campus
Hamar
- Required prerequisite knowledge
None
- This course provides a solid foundation for a better understanding of the war experience through the study of literature and film. Students will gain a broader understanding of, as well as new perspectives on, events and issues such as the legacy of the Somme, war poetry, the struggle for female emancipation, the Irish Question, media and the war, Norway’s role as a “neutral ally” and the decline of the British Empire. The course will further look at the impact of the war on the national psyches of the belligerents, with a particular focus on the British and Commonwealth dimension.
- The course will enhance the student’s skills in academic writing and critical thinking, as well as training his/her competence in finding, using and referring to appropriate sources.
## Learning Outcome
Upon successful completion of the course, the student will have achieved the following learning outcomes:
The student
- has comprehensive knowledge about the causes and effects of the Great War, its impact on the 20th century and its relevance for today’s society
- has comprehensive knowledge about cultural and artistic expressions and representations of the Great War
- has comprehensive knowledge of significant events, major developments and key players pertaining to the Great War
- has knowledge about theories relevant for the study of literature and film
- has knowledge about central theories relevant for the study of history
The student
- can analyse literary texts and other relevant artistic expressions
- can identify basic literary and cinematic devices and styles
- can discuss in depth topics relevant for the course
- can apply theoretical perspectives in analysing literature and film
The student
- can communicate important academic subject matters such as theories, problems and solutions, both in writing and orally
- has insight into relevant academic and professional ethical issues
- can plan and carry out relevant assignments and projects over time, alone or as part of a group, and in accordance with ethical requirements and principles
- can exchange opinions and experiences with others with a background in the field, thereby contributing to the development of good practice
Teaching takes the form of interactive lectures and seminars, student presentations and discussions. A digital learning platform is used for course information and guidance. Regular and active participation in seminars is required.
Practice
Practice is an integrated part of the subjects included in the 5-year Lecturer Education in Language and Literature. All the courses in the program, together with the practical training, have responsibility for ensuring that students develop professional competence and a strong teacher identity.
- An attendance record of at least 75 % according to the semester plan. Students are responsible for registration of attendance
- 3 assignments (1 oral and 2 written) within specified deadlines for the course. The assignments must be approved by the teacher no later than 2 weeks before the exam
A portfolio consisting of two of written assignments. The portfolio will be graded on a scale from A to F. A is the highest pass grade and E is the lowest pass grade. Both content and English language skills must satisfy minimum requirements in order for a candidate to obtain a pass grade.
## Reading list",NA,NA
"inn","inn",NA,"## Statusmelding
- 2025 Autumn
- 2024 Autumn
- 2023 Autumn
- Course code
2ENL51-14
Number of credits
10
Teaching semester
2025 Autumn
Language of instruction
English
Campus
Hamar
Required prerequisite knowledge
None
- Course code
2ENL51-14
- Number of credits
10
- Teaching semester
2025 Autumn
- Language of instruction
English
- Campus
Hamar
- Required prerequisite knowledge
None
- In periods marked by strong political dissent, democratic societies produce works of art imagining better ways – or worse ones – for (re-)organizing power.
- In this course, we will engage critically with various ideas of utopia and dystopia through diverse theories on idealism, disaster narratives, speculative fiction and the like.
- Engage critically with the idea of utopia/dystopia in a selection of relevant theory, films, poetry, short stories, and novels from the 16th century to today.
- Read utopia/dystopia in relation to the cultures that engendered them. These terms will be understood as widely as possible for increased understanding of the uses of utopia/dystopia today.
## Learning Outcome
Upon successful completion of the course, the student will have achieved the following learning outcomes:
The student
- has broad and comprehensive knowledge about various expressions of and attitudes toward utopia and dystopia in literature and other relevant artistic expressions between the 16th century to today
- has an understanding of how ideas and attitudes related to texts engendered by or responding to political upheaval have been impacted by their historical and cultural contexts
- has knowledge about the major critical theories pertaining to various aspects of utopia/dystopia
- has knowledge about how generic and formal traits in literature and other artistic forms are linked to utopic/dystopic textual expression
The student
- can analyse literary texts and other relevant artistic expressions
- can identify basic literary devices, styles, and periods
- can apply theoretical perspectives in analysing literature and other relevant artistic expression
- can demonstrate an understanding of the major ethical issues involved in the topic
The student
- has insight into relevant academic and professional ethical issues
- can plan and carry out relevant assignments and projects over time, alone or as part of a group, and in accordance with ethical requirements and principles
- can communicate important academic subject matters such as theories, problems and solutions, both in writing and orally
- can exchange opinions and experiences with others with a background in the field, thereby contributing to the development of good practice
Teaching takes the form of interactive lectures and seminars, student presentations and discussions. The learning platform Canvas is used for course information and guidance. Regular and active participation in seminars is required.
Practice
Practice is an integrated part of the subjects included in the 5-year Lecturer Education in Language and Literature. All the courses in the program, together with the practical training, have responsibility for ensuring that students develop professional competence and a strong teacher identity.
- An attendance record of at least 75 % according to the semester plan. Students are responsible for registration of attendance
- 2 obligatory assignments (oral and/or written) within specified deadlines for the course. The assignments must be approved by the teacher no later than 2 weeks before the exam
- All
Individual three-day take-home exam graded on a scale from A to F. A is the highest pass grade and E is the lowest pass grade.
Both content and English language skills must satisfy minimum requirements in order for a candidate to obtain a pass grade.
## Reading list",NA,NA
"inn","inn",NA,"## Statusmelding
- 2025 Autumn
- 2024 Autumn
- 2023 Autumn
- Course code
2ENL51-15
Number of credits
10
Teaching semester
2025 Autumn
Language of instruction
English
Campus
Hamar
Required prerequisite knowledge
None
- Course code
2ENL51-15
- Number of credits
10
- Teaching semester
2025 Autumn
- Language of instruction
English
- Campus
Hamar
- Required prerequisite knowledge
None
This course will give an introduction to and an overview of some of the forms, expressions and genres of culture created and changed by digital platforms of communication.
We will look at how different schools of thought have interpreted the advent of digital communication and social media. There will be a focus on both the material, institutional and cultural conditions shaping cultural expressions on the Internet.
## Learning Outcome
Upon successful completion of the course, the student will have achieved the following learning outcomes:
The student
- has broad and comprehensive knowledge about various cultural expressions on the Internet
- has knowledge about the economic, material and institutional structures of digital communication
- has knowledge about the major theories pertaining to digital communication, social media and cultural expressions on the internet
- has knowledge about generic and formal traits of digital texts and artistic forms
The student
- can analyze digital texts and multimodal cultural expressions
- can apply theoretical perspectives from several different cultural studies disciplines in analysis of multimodal texts
- can demonstrate an understanding of the impact of genre and mode on cultural expressions
- can apply a critical literacy approach in reading digital cultural expressions
- can think critically about the production of expressions of digital culture
The student
- can communicate important academic subject matters such as theories, problems and solutions, both in writing and orally
- has insight into relevant academic and professional ethical issues
- can plan and carry out relevant assignments and projects over time, alone or as part of a group, and in accordance with ethical requirements and principles
- can exchange opinions and experiences with others with a background in the field, thereby contributing to the development of good practice
Teaching takes the form of interactive lectures and seminars, student presentations and discussions. A digital learning platform is used for course information and guidance. Regular and active participation in seminars is required.
Practice
Practice is an integrated part of the subjects included in the 5-year Lecturer Education in Language and Literature. All the courses in the program, together with the practical training, have responsibility for ensuring that students develop professional competence and a strong teacher identity.
- Attendance to and participation in at least 75 % of the scheduled teaching according to the semester plan.
- A minimum of 2 assignments (multimodal and/or written) within specified deadlines for the course. The assignments must be approved by the teacher no later than 2 weeks before the exam.
- All
A portfolio consisting of a set of multimodal and/or written texts will be assessed. The portfolio shall consist of a development on the student’s obligatory course assignments and a short additional reflection essay.
The portfolio will be graded on a scale from A to F. A is the highest pass grade and E is the lowest pass grade. Both content and English language skills must satisfy minimum requirements in order for a candidate to obtain a pass grade.
## Reading list",NA,NA
"inn","inn",NA,"- 2026 Spring
- 2025 Spring
- 2024 Spring
- 2023 Spring
- Course code
2ENL512-1
Number of credits
15
Teaching semester
2026 Spring
Language of instruction
English
Campus
Hamar
Required prerequisite knowledge
None
- Course code
2ENL512-1
- Number of credits
15
- Teaching semester
2026 Spring
- Language of instruction
English
- Campus
Hamar
- Required prerequisite knowledge
None
- English phonemes and the phonetic alphabet
- English word classes
- Subject-verbal concord
- English phrase structure
- Basic English clause structure
- English-Norwegian contrastive phonology and grammar
## Learning Outcome
Upon successful completion of the course, the student will have achieved the following learning outcomes:
The student
- has broad knowledge of the English sound system and English word classes
- has broad knowledge of the basic syntactic structure of English phrases and clauses
- has knowledge of contrastive phonological and grammatical differences between English and Norwegian
- is familiar with some aspects of English vocabulary (etymology, semantics)
The student
- can apply knowledge of the norms for modern English usage in their own production of oral and written texts
- can analyse the basic syntactic structure of English phrases and clauses
- can describe how sounds are produced, classify phonemes and use standard phonological script (IPA)
- can recognise and describe differences between the phonology and grammar of English and Norwegian by using basic phonological and grammatical terminology
- can use relevant digital and other tools confidently, critically and creatively to develop their linguistic competence in English
- can use insights from the course to describe and develop their own pronunciation in English
The student
- has insight into relevant academic and professional ethical issues
- can plan and carry out varied assignments, alone or as part of a group, and in accordance with ethical requirements and principles
- can communicate important academic subject matters such as theories, problems and solutions, both in writing and orally, as well as through other relevant forms of communication
Teaching takes the form of interactive lectures and seminars. The learning platform Canvas is used for course information and guidance. The course requires regular and active participation in seminars as well as work with exercises in and out of class.
Practice
Practice is an integrated part of the subjects included in the 5-year Lecturer Education in Language and Literature. All the courses in the program, together with the practical training, have responsibility for ensuring that students develop professional competence and a strong teacher identity.
To sit the examination a student must:
- have an attendance record of at least 75 % according to the semester plan. Students are responsible for registration of attendance
- have submitted up to two individual assignments by a date stipulated at the beginning of the semester. The assignments must be approved by the lecturer responsible no later than two weeks before the examination
An individual five-hour written examination, graded on a scale from A to F. A is the highest pass grade and E is the lowest pass grade.
## Reading list",NA,NA
"inn","inn",NA,"## Statusmelding
- 2025 Autumn
- 2024 Autumn
- 2023 Autumn
- Course code
2ENL512-2
Number of credits
15
Teaching semester
2025 Autumn
Language of instruction
English
Campus
Hamar
Required prerequisite knowledge
None
- Course code
2ENL512-2
- Number of credits
15
- Teaching semester
2025 Autumn
- Language of instruction
English
- Campus
Hamar
- Required prerequisite knowledge
None
- Introduction to the study of literature written in English
- An overview of the historical background relevant to the texts on the syllabus
- Essay writing on topics from English-language literature and culture
- Basic critical concepts and terminology relevant for the study of literature and culture
## Learning Outcome
Upon successful completion of the course, the student will have achieved the following learning outcomes:
The student
- has broad knowledge of English-language literature and culture in a historical perspective from the Renaissance to the 20th century
- is familiar with different literary genres
- is familiar with basic critical and theoretical approaches to the study of literature and culture
The student
- is able to present and discuss English-language literature and culture in a historical perspective using an academic register
The student
- has insight into academic issues relevant to the field of English-language literature and culture
- can plan and carry out relevant assignments, alone and as part of a group, in accordance with academic conventions and ethical requirements and principles
Teaching takes the form of interactive lectures and seminars, student presentations, and discussions. The learning platform Canvas is used for course information and guidance. Regular and active participation in class is required.
Practice
Practice is an integrated part of the subjects included in the 5-year Lecturer Education in Language and Literature. All the courses in the program, together with the practical training, have responsibility for ensuring that students develop professional competence and a strong teacher identity.
To sit the examination a student must:
- have an attendance record of at least 75 % according to the semester plan. Students are responsible for registration of attendance
- have completed a maximum of 5 assignments, of which at least one is oral and one must be written. Details will be outlined at the beginning of the semester. These assignments must be approved no later than two weeks before the examination. A certificate of participation from the Norwegian Study Centre in York will be accepted as substitute for one of the assignments
A five-hour individual written examination, graded on a scale from A to F. A is the highest pass grade and E is the lowest pass grade. Both content and English language skills must satisfy minimum requirements in order for a candidate to obtain a pass grade.
## Reading list",NA,NA
"inn","inn",NA,"- 2026 Spring
- 2025 Spring
- 2024 Spring
- 2023 Spring
- Course code
2ENL512-31
Number of credits
15
Teaching semester
2026 Spring
Language of instruction
English
Campus
Hamar
Required prerequisite knowledge
None
- Course code
2ENL512-31
- Number of credits
15
- Teaching semester
2026 Spring
- Language of instruction
English
- Campus
Hamar
- Required prerequisite knowledge
None
- The English verbal system
- The form and function of English adverbials
- The form and function of English subordinate clauses
- Basic English intonation patterns and varieties of spoken English
- Principles of word order, cohesion and coherence in English
- The structure of spoken and written texts in English
- English-Norwegian contrastive grammar
## Learning Outcome
Upon successful completion of the course, the student will have achieved the following learning outcomes:
The student
- has knowledge of the English verbal system
- is familiar with the forms and functions of adverbials in English
- has knowledge of the structure and function of various types of clauses and sentences in English
- has broad knowledge of varieties of spoken English and English intonation patterns and how they are used systematically to convey meaning and attitudes
- has knowledge about principles of word order, and cohesion and coherence in spoken and written English
- has knowledge of contrastive differences between English and Norwegian grammar and language use
The student
- can analyse and evaluate spoken and written communication by using his/her knowledge of grammatical theory, of English usage norms and of cohesion and coherence
- can describe the forms and structures of English by using relevant and precise terminology
- can identify and discuss important and relevant differences between Norwegian and English usage
- can reflect upon his/her own academic practice and adjust it under supervision
- can use relevant digital and other tools confidently, critically and creatively to develop their linguistic competence in English
The student
- can plan and carry out varied assignments, alone or as part of a group, and in accordance with ethical requirements and principles
- can communicate important academic subject matters such as theories, problems and solutions, both in writing and orally, as well as through other relevant forms of communication
- can exchange opinions and experiences with others with a background in the field, thereby contributing to the development of good practice
Teaching takes the form of interactive lectures and seminars. The learning platform Canvas is used for course information and guidance. The course requires regular and active participation in seminars as well as in work with exercises in and out of class.
Practice
Practice is an integrated part of the subjects included in the 5-year Lecturer Education in Language and Literature. All the courses in the program, together with the practical training, have responsibility for ensuring that students develop professional competence and a strong teacher identity.
To sit the examination a student must:
- have an attendance record of at least 75 % according to the semester plan. Students are responsible for registration of attendance
- have submitted ut to three individual or group assignments by a date stipulated at the beginning of the semester. The assignments must be approved by the lecturer responsible no later than two weeks before the examination
An individual five-hour written examination, graded on a scale from A to F. A is the highest pass grade and E is the lowest pass grade.
## Reading list",NA,NA
"inn","inn",NA,"- 2026 Spring
- 2025 Spring
- 2024 Spring
- 2023 Spring
- Course code
2ENL512-41
Number of credits
15
Teaching semester
2026 Spring
Language of instruction
English
Campus
Hamar
Required prerequisite knowledge
None
- Course code
2ENL512-41
- Number of credits
15
- Teaching semester
2026 Spring
- Language of instruction
English
- Campus
Hamar
- Required prerequisite knowledge
None
- Contemporary English-language literature from around the world
- A selection of texts from different genres
- Some central aspects of contemporary English-speaking societies from around the world
- Theoretical approaches to interpreting contemporary literature and culture
## Learning Outcome
Upon successful completion of the course, the student will have achieved the following learning outcomes:
The student
- has broad knowledge of contemporary English-language literature and culture from around the world
- is familiar with critical and theoretical approaches to the study of literature and culture
- has in-depth knowledge of one area relevant to the study of contemporary culture in one or more English-speaking countries
The student
- is able to present and discuss contemporary literature and culture in the English-speaking world using an academic register
- can write, present and discuss an individual research project on a given topic relevant to the course
- is able to compare and contrast central aspects of several English-speaking societies around the world
The student
- has insight into academic issues relevant for the field of contemporary English-language literature and culture
- can plan and carry out an individual in-depth assignment in accordance with ethical requirements and principles
- has broad knowledge of current issues in English-speaking societies around the world
Teaching takes the form of interactive lectures and seminars, student presentations, and discussions. The learning platform Canvas is used for course information and guidance. Regular and active participation in class is required.
Practice
Practice is an integrated part of the subjects included in the 5-year Lecturer Education in Language and Literature. All the courses in the program, together with the practical training, have responsibility for ensuring that students develop professional competence and a strong teacher identity.
To sit the examination a student must:
- have an attendance record of at least 75 % according to the semester plan. Students are responsible for registration of attendance
- have completed and presented, orally and in writing, an individual research project. Both the written and oral component must be approved no later than two weeks before the exam
An individual oral examination, graded on a scale from A to F. A is the highest pass grade and E is the lowest pass grade. Both content and English language skills must satisfy minimum requirements in order for a candidate to obtain a pass grade.
## Reading list",NA,NA
