"course_code_norm","year","hv","url"
"SAM1080L-1",NA,NA,"https://mf.no/studier/emner/sam1080l"
"SAM2080L-1",NA,NA,"https://mf.no/studier/emner/sam2080l"
"RL1016-1",NA,NA,"https://mf.no/studier/emner/rl1016"
"RL2030-1",NA,NA,"https://mf.no/studier/emner/rl2030"
"SAM1000L-1",NA,NA,"https://mf.no/studier/emner/sam1000l"
"SAM1040L-1",NA,NA,"https://mf.no/studier/emner/sam1040l"
"SAM1050-1",NA,NA,"https://mf.no/studier/emner/sam1050"
"RL5075-1",NA,NA,"https://mf.no/studier/emner/rl5075"
"RL5065-1",NA,NA,"https://mf.no/studier/emner/rl5065"
"PPU1020-1",NA,NA,"https://mf.no/studier/emner/ppu1020"
"PPU1010-1",NA,NA,"https://mf.no/studier/emner/ppu1010"
"PED5610-1",NA,NA,"https://mf.no/studier/emner/ped5610"
"MET5010-1",NA,NA,"https://mf.no/studier/emner/met5010"
"AVH5055-1",NA,NA,"https://mf.no/studier/emner/avh5055"
"SAM1030L-1",NA,NA,"https://mf.no/studier/emner/sam1030l"
"RL2050-1",NA,NA,"https://mf.no/studier/emner/rl2050"
"RL5040-1",NA,NA,"https://mf.no/studier/emner/rl5040"
"BAO2705-1",NA,NA,"https://mf.no/studier/emner/bao2705"
"PPU1015-1",NA,NA,"https://mf.no/studier/emner/ppu1015"
"RL1014-1",NA,NA,"https://mf.no/studier/emner/rl1014"
"RL1013-1",NA,NA,"https://mf.no/studier/emner/rl1013"
"PRA1005-1",NA,NA,"https://mf.no/studier/emner/pra1005"
"PRA1004-1",NA,NA,"https://mf.no/studier/emner/pra1004"
"PRA1002-1",NA,NA,"https://mf.no/studier/emner/pra1002"
"PRA1001-1",NA,NA,"https://mf.no/studier/emner/pra1001"
"PED1010-1",NA,NA,"https://mf.no/studier/emner/ped1010"
