"institution_short","course_code_norm","year","hv","url","status","ok","bytes","sha1","course_name_no","fulltext"
"mf","SAM1080L-1",NA,NA,"https://mf.no/studier/emner/sam1080l",200,TRUE,44764,"dc57b899ef320eed02999722ee59d1bec091960c","Identitet, makt og mangfold - Lektorprogrammet SAM1080L",NA
"mf","SAM2080L-1",NA,NA,"https://mf.no/studier/emner/sam2080l",200,TRUE,45127,"0ee7e83e0bcdd67eb30a0503c80d8511728877a6","Globalisering og historie - Lektorprogrammet SAM2080L",NA
"mf","RL1016-1",NA,NA,"https://mf.no/studier/emner/rl1016",200,TRUE,48244,"d51df3bae37c34d2acdbdff98c6ca9bcf3b60ef1","Historie og livssyn: Kristendommens historie og det moderne livssynsmangfold RL1016",NA
"mf","RL2030-1",NA,NA,"https://mf.no/studier/emner/rl2030",200,TRUE,45000,"11d366e0c50e1df1c099414dbd6494b1a5fc90be","Islam: Tradisjon og mangfold - Lektorprogrammet RL2030",NA
"mf","SAM1000L-1",NA,NA,"https://mf.no/studier/emner/sam1000l",200,TRUE,48148,"3e4dbe20c7ed0d666695aac9bf3a7ea5385d9e42","Innf<U+00F8>ring i samfunnsfag - Lektorprogrammet SAM1000L",NA
"mf","SAM1040L-1",NA,NA,"https://mf.no/studier/emner/sam1040l",200,TRUE,43901,"a225856db117857a8b1f180cacdf2645c477115a","Demokrati og medborgerskap - Lektorprogrammet SAM1040L",NA
"mf","SAM1050-1",NA,NA,"https://mf.no/studier/emner/sam1050",200,TRUE,45553,"53ed05fc7990e801f6f3e0254ef7dd16d535ac7f","Internasjonal politikk SAM1050",NA
"mf","RL5075-1",NA,NA,"https://mf.no/studier/emner/rl5075",200,TRUE,43510,"527cfbb9320685388ffd09ffa5f75610d5751191","Filosofi RL5075",NA
"mf","RL5065-1",NA,NA,"https://mf.no/studier/emner/rl5065",200,TRUE,44126,"f0bd2c3296ef7d9dd44ccff3342bdf278f7280b6","Samtidsreligion RL5065",NA
"mf","PPU1020-1",NA,NA,"https://mf.no/studier/emner/ppu1020",200,TRUE,49124,"249f48dcdb99504cb06d0c0ffd862c917b48324c","Pedagogikk 2, didaktikk 2 og praksis PPU1020",NA
"mf","PPU1010-1",NA,NA,"https://mf.no/studier/emner/ppu1010",200,TRUE,50342,"d9720049b9ffd9ae29c9be8722fad506507570dc","Pedagogikk 1, didaktikk 1 og praksis PPU1010",NA
"mf","PED5610-1",NA,NA,"https://mf.no/studier/emner/ped5610",200,TRUE,42980,"f6855dd0438a4b617633c59b84c79f650ace5d47","Utdanning og profesjonsetikk PED5610",NA
"mf","MET5010-1",NA,NA,"https://mf.no/studier/emner/met5010",200,TRUE,47175,"e75f39e3459834bc9326ab5b0a0cffa07b2c93aa","Kvalitative forskningsmetoder MET5010",NA
"mf","AVH5055-1",NA,NA,"https://mf.no/studier/emner/avh5055",200,TRUE,41796,"a92ca46fdda566ee0a3ae6c218053c25953fcd05","Masteroppgave Lektorprogram i KRLE/ religion og etikk og samfunnsfag AVH5055",NA
"mf","SAM1030L-1",NA,NA,"https://mf.no/studier/emner/sam1030l",404,FALSE,NA,NA,NA,NA
"mf","RL2050-1",NA,NA,"https://mf.no/studier/emner/rl2050",404,FALSE,NA,NA,NA,NA
"mf","RL5040-1",NA,NA,"https://mf.no/studier/emner/rl5040",404,FALSE,NA,NA,NA,NA
"mf","BAO2705-1",NA,NA,"https://mf.no/studier/emner/bao2705",200,TRUE,44657,"3b12b437c9e6852f22bc77f493ac26d0959dbd01","Bacheloroppgave BAO2705",NA
"mf","PPU1015-1",NA,NA,"https://mf.no/studier/emner/ppu1015",200,TRUE,48033,"dbe6a12a06d98deb1d4c6fcc73b57eedfbada633","Pedagogikk 1, didaktikk 1 og praksis PPU1015",NA
"mf","RL1014-1",NA,NA,"https://mf.no/studier/emner/rl1014",200,TRUE,45557,"ea5218aa5b4edf3fb4dc9858f07c563c3ff2d1e3","Hellige skrifter RL1014",NA
"mf","RL1013-1",NA,NA,"https://mf.no/studier/emner/rl1013",200,TRUE,49017,"92a6c8c2fbbb968155a58dbe1f1ce06ed2bb46dc","Kristendom: tradisjon og tolkning RL1013",NA
"mf","PRA1005-1",NA,NA,"https://mf.no/studier/emner/pra1005",200,TRUE,41354,"8ab86078b58a00ea45c69f1ff26d9c7096ca6beb","Praksis 5. semester - Lektorprogrammet PRA1005",NA
"mf","PRA1004-1",NA,NA,"https://mf.no/studier/emner/pra1004",200,TRUE,41140,"df45a71f21ba33d97493029d602b16bb4e30592a","Praksis 4. semester - Lektorprogrammet PRA1004",NA
"mf","PRA1002-1",NA,NA,"https://mf.no/studier/emner/pra1002",200,TRUE,40779,"4287b904c59d781c5551a8b3223387ac516208ad","Praksis 2. semester - Lektorprogrammet PRA1002",NA
"mf","PRA1001-1",NA,NA,"https://mf.no/studier/emner/pra1001",200,TRUE,40313,"5c2bd45a7b2292d07d12235c1b3a231e01f9ac6f","Praksis 1. semester - Lektorprogrammet PRA1001",NA
"mf","PED1010-1",NA,NA,"https://mf.no/studier/emner/ped1010",200,TRUE,44088,"89c9b95199f9d4be6d51a24f1e00e9d8b9133552","Pedagogikk og didaktikk PED1010",NA
