"course_code_norm","year","hv","url"
"LKI152-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki152.html"
"LKI530-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki530.html"
"LKI520-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki520.html"
"LKI510-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki510.html"
"LKI230-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki230.html"
"LKI235-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki235.html"
"LKI300-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki300.html"
"LKI111-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki111.html"
"LKI115-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki115.html"
"LKI120-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki120.html"
"LKI125-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki125.html"
"LKI130-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki130.html"
"LKI200-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki200.html"
"LKI201-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki201.html"
"LKI205-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki205.html"
"LKI210-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki210.html"
"LKI211-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki211.html"
"LKI212-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki212.html"
"LKI215-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki215.html"
"LKI220-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki220.html"
"LKI221-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki221.html"
"LKI225-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki225.html"
"LKI226-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki226.html"
"LKI500-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki500.html"
"LKI400-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki400.html"
"LKI410-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki410.html"
"LKI430-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki430.html"
"LKI236-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki236.html"
"LKI106-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki106.html"
"LKI105-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki105.html"
"LKI100-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki100.html"
"LKI110-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki110.html"
