"institution","course_code","url","fulltekst_renset","arbeidskrav","status_code"
"nih","nih",NA,"- Kort om emnet
- Forkrav
- Hvem kan ta dette emnet?
- Læringsutbytte
- Læringsformer og aktiviteter
- Arbeidskrav
- Vurdering/eksamen
- Kjernelitteratur
## Kort om emnet
Emnet er en innføring i det å være lærer og tilhørende profesjonskunnskap. Studentene inviteres til kritisk å drøfte ulike perspektiver på kroppsøving og profesjonsutøvelse, og å se dette i sammenheng med samfunnsmandatet, hvordan læreplanen og andre nasjonale styringsdokument danner utgangspunktet for læreres arbeid. «Å være lærer» utgjør første del av profesjonsfaget som er gitt et særlig ansvar for progresjon i utdanningen og å binde sammen opplæring i praksis og undervisning på campus. Det legges vekt på å knytte undervisningen på campus sammen med studentene sine observasjoner og erfaringer fra skolepraksis. Studentene introduseres for grunnleggende pedagogiske begreper med vekt på å planlegge, gjennomføre og drøfte undervisning. Det legges særlig vekt på det praktisk-didaktiske i møte med ulike elevgrupper og sentrale læringsmål i kroppsøving.
## Forkrav
Ingen emner i programmet
## Hvem kan ta dette emnet?
Programstudenter LUPE
## Læringsutbytte
Studenten skal etter gjennomført emne kunne
- planlegge, gjennomføre og drøfte undervisning i kroppsøving i grunnskolen ut fra gjeldende lovverk, nasjonale styringsdokumenter og innsikt i at elever og elevgrupper er forskjellige.
planlegge, gjennomføre og drøfte undervisning i kroppsøving i grunnskolen ut fra gjeldende lovverk, nasjonale styringsdokumenter og innsikt i at elever og elevgrupper er forskjellige.
- gjøre rede for de sentrale styringsdokumentene som regulerer skolens virksomhet og muligheter knyttet til de praktiske og estetiske fagene generelt og kroppsøving spesielt
gjøre rede for de sentrale styringsdokumentene som regulerer skolens virksomhet og muligheter knyttet til de praktiske og estetiske fagene generelt og kroppsøving spesielt
- beskrive sentrale dimensjoner ved det å være lærer, som elev-lærerrelasjonen, klasseledelse, kollegialt samarbeid og lærerprofesjonens etiske ansvar
beskrive sentrale dimensjoner ved det å være lærer, som elev-lærerrelasjonen, klasseledelse, kollegialt samarbeid og lærerprofesjonens etiske ansvar
- drøfte oppfatninger av kroppsøving som fag og sammen med andre reflektere og kritisk drøfte ulike former for profesjonsutøvelse og det å være lærer i kroppsøving.
drøfte oppfatninger av kroppsøving som fag og sammen med andre reflektere og kritisk drøfte ulike former for profesjonsutøvelse og det å være lærer i kroppsøving.
## Læringsformer og aktiviteter
Undervisningen er lagt til høstsemesteret og det brukes varierte undervisningsformer for å belyse kjernelitteratur og emnerelaterte problemstillinger. Det kreves at studentene forbereder seg, deltar i samarbeid, medvirker og viser ansvar for egen og hverandres læring. Arbeidet varierer mellom forelesninger og «klasseromsundervisning», individuelt studentarbeid, gruppearbeid, studentframlegg og gjennomføring av praktiske oppgaver både på NIH og i skolepraksis.
## Arbeidskrav
-
80 % obligatorisk aktiv deltakelse i undervisning
-
Innleveringsarbeider knyttet til mappe:
-
Utvikling av undervisningsopplegg
-
Utvikling av periode/årsplan
-
Refleksjon i etterkant av gjennomføring av fagdager på NIH
Arbeidskrav må være godkjent for å kunne gå opp til avsluttende vurdering..
## Vurdering/eksamen
Mappeoppgave med planlegging av undervisning knyttet til praksis. Bestått/ ikke bestått.
Leveres til midtveisevaluering i perioden uke 40-42.
Vi gjør oppmerksom på at oppgaver som leveres i Canvas og WISEflow blir sjekket for plagiat.
## Kjernelitteratur
Pensumlista for høsten 2025.",NA,NA
"nih","nih",NA,"- Kort om emnet
- Forkrav
- Hvem kan ta dette emnet?
- Læringsutbytte
- Læringsformer og aktiviteter
- Arbeidskrav
- Vurdering/eksamen
## Kort om emnet
Emnet tar for seg barn og unges læring og utvikling i lys av utviklingsvitenskapelige teorier og konsepter, samt skolens oppdrag, spesielt når det gjelder kroppsøving og idrettsfag, i et historisk lys, og fremveksten av ulike læreplaner i et læreplanteoretisk lys.
Innholdet i emnet har som mål å sette studenten i stand til å forstå og tolke styrende dokumenter, også når de endres, og planlegge og lede en variert undervisning for læring og utvikling med intensjon om å engasjere alle barn og unge.
## Forkrav
Ingen emner i programmet
## Hvem kan ta dette emnet?
Programstudenter LUPE
## Læringsutbytte
Studenten skal etter gjennomført emne kunne
-
gjøre rede for skolens historiske utvikling, herunder kroppsøving og idrett.
-
analysere gjeldende styringsdokumenter i et historisk lys og med utgangspunkt i ulike læreplanteorier.
-
redegjøre for sentrale utviklingsvitenskapelige konsepter og teorier, og diskutere hvordan slike perspektiver påvirker måten å undervise på.
-
begrunne egne valg i undervisning i kroppsøving ut fra faglige mål og kunnskap om barn og ungdoms utvikling og læring.
-
diskutere elevmangfold og inkluderende undervisning ut fra ulike perspektiver på læring og utvikling
## Læringsformer og aktiviteter
Emnet vil bestå av forelesninger, litteraturseminarer og workshops som tar sikte på en integrasjon av teori og praksis.
## Arbeidskrav
-
80 % deltakelse i undervisning
-
2 mappeoppgaver
Arbeidskravene må være godkjent for å kunne gå opp til eksamen.
## Vurdering/eksamen
Individuell skriftlig hjemmeeksamen på maks 3000 ord. Gradert karakter A-F.
Vi gjør oppmerksom på at oppgaver som leveres i Canvas og WISEflow blir sjekket for plagiat.",NA,NA
"nih","nih",NA,"- Kort om emnet
- Forkrav
- Hvem kan ta dette emnet?
- Læringsutbytte
- Læringsformer og aktiviteter
- Arbeidskrav
- Vurdering/eksamen
- Kjernelitteratur
## Kort om emnet
Kjernen i kroppsøving og idrettsfag er bevegelsesaktivitet og den betydning bevegelse og forskjellige bevegelseskulturer har i opplæring av barn og unge. Emnet handler om planlegging, gjennomføring og vurdering av ulike metodiske tilnærminger til bevegelsesaktiviteter, dans og kroppslig læring.
Det legges i emnet vekt på at studentene skal utvikle kompetanse som gjør dem trygge i valg av tilnærming til bevegelsesaktiviteter for elever.
## Forkrav
Ingen emner i programmet
## Hvem kan ta dette emnet?
Programstudenter LUPE
## Læringsutbytte
Studenten skal etter gjennomført emne kunne
-
ved hjelp av ulike pedagogiske og didaktiske modeller legge til rette for undervisning i ulike typer lekaktiviteter, andre bevegelsesaktiviteter og grunnleggende bevegelseserfaringer
-
planlegge og gjennomføre lek og spill i ballaktiviteter med fokus på inkludering av alle elever
-
undervise og veilede i bruken av relevante arbeidsmåter, øving og utforsking i planlegging og gjennomføring av bevegelsesaktiviteter, dans og kroppslig læring
-
ivareta og begrunne elevers sikkerhet i ulike aktiviteter og bevegelsesmiljø
-
eksperimentere med ulike danseformer og skape dansekomposisjoner
-
kjenne til og reflektere rundt de tre tverrfaglige temaene: demokrati og medborgerskap, folkehelse og livsmestring og bærekraftig utvikling
## Læringsformer og aktiviteter
Emnets innhold belyses gjennom praktiske aktiviteter, diskusjoner/refleksjon, studentfremlegg og litteratur. Det legges opp til at studentene både individuelt og i samarbeid diskuterer sentrale tema fra emnets innhold. Studentene skal underveis i emnet arbeide med å utvikle undervisningsopplegg som viser hvordan de har gått frem i å bruke læringsaktiviteter og gjøre rede for pedagogiske og didaktiske overveielser.
## Arbeidskrav
-
80 % obligatorisk aktiv deltakelse i undervisning.
-
100 % oppmøte under praktisk eksamen.
Arbeidskravet skal være godkjent for å gå opp til vurdering.
## Vurdering/eksamen
Individuell gjennomføring av undervisningsopplegg fra LKI100. Bestått/ ikke bestått.
-
Studenten skal gjennomføre og begrunne et undervisningsopplegg. Tid 45 minutter.
Vi gjør oppmerksom på at oppgaver som leveres i canvas og WISEflow vil bli kjørt gjennom plagiatkontroll.
## Kjernelitteratur
Pensumlista for høsten 2025.",NA,NA
"nih","nih",NA,"- Kort om emnet
- Forkrav
- Hvem kan ta dette emnet?
- Læringsutbytte
- Læringsformer og aktiviteter
- Arbeidskrav
- Vurdering/eksamen
- Reduksjon i studiepoeng
## Kort om emnet
Dette emnet gir studentene en grunnleggende forståelse av sentrale prinsipper og metoder innenfor styrketrening, spensttrening, hurtighetstrening, koordinasjonstrening og utholdenhetstrening. Det legges vekt på å forstå hvordan ulike treningsformer påvirker både prestasjon og helse, samt hvordan man kan måle effekten av treningen. Studentene får også erfaring med å planlegge, gjennomføre og evaluere trening for individer med ulike mål og forutsetninger. I tillegg vil emnet belyse viktigheten av bærekraft og bærekraftig utvikling i sammenheng med trening og fysisk aktivitet.
## Forkrav
Ingen emner i programmet
## Hvem kan ta dette emnet?
Programstudenter LUPE
## Læringsutbytte
Studenten skal etter gjennomført emne kunne
-
anvende arbeidskrav- og kapasitetsanalyser for å forbedre idrettsprestasjoner
-
forklare og anvende treningsprinsippene variasjon, spesifisitet, individualisering, progresjon, adaptasjon og periodisering
-
identifisere og forklare prinsippene for treningsbelastning, inkludert treningsmotstand, treningsintensitet, treningsvarighet og treningsfrekvens
-
identifisere og forklare hva som bestemmer koordinasjon, muskelstyrke, spenst, hurtighet, kondisjon og utholdenhet
-
planlegge, gjennomføre og evaluere trening og testing av koordinasjon, styrke, spenst, hurtighet, og utholdenhet
-
identifisere helseeffekter av fysisk aktivitet og trening
-
identifisere sentrale prinsipper og metoder for mental trening
## Læringsformer og aktiviteter
Undervisningen er en kombinasjon av teoretisk undervisning (50 %) og praktisk aktivitet (50 %). Både teoretiske og praktiske læringsaktiviteter blir presentert i Canvas, inkludert forberedende spørsmål før forelesning (quiz), drøftingsoppgaver etter undervisning, praktiske oppgaver, samt bruk av digitale læringsformer som animasjoner og videoer.
## Arbeidskrav
-
Det kreves minimum 80 % aktiv og konstruktiv deltakelse i de praktiske timene.
-
Tre individuelle innleveringer knyttet til praktisk aktivitet.
Arbeidskrav vurderes godkjent/ ikke godkjent. Godkjent oppmøte kreves før muntlig og skriftlig eksamen.
## Vurdering/eksamen
-
Muntlig eksamen: Gradert karakter. Teller 60 % av emnekarakter.
-
Individuell flervalgeksamen som digital hjemmeeksamen. Gradert karakter. Teller 40 % av emnekarakter.
For å få avsluttende karakter i emnet, må alle deler være bestått.
Vi gjør oppmerksom på at oppgaver som leveres i Canvas og WISEflow blir sjekket for plagiat.
## Reduksjon i studiepoeng
Innholdet i dette emnet dekkes helt eller delvis av annet emne. Tas ett av disse emnene i tillegg, reduseres studiepoengene som følger:",NA,NA
"nih","nih",NA,"- Kort om emnet
- Forkrav
- Hvem kan ta dette emnet?
- Læringsutbytte
- Læringsformer og aktiviteter
- Arbeidskrav
- Vurdering/eksamen
## Kort om emnet
Emnet bygger på LKI120 Friluftsliv i skolen, og gir studentene ytterligere forutsetninger for å skape og tilrettelegge gode læringssituasjoner i natur for elever i kroppsøving og på idrettsfag. Det settes søkelys på lokale friluftslivstradisjoner, kyst- og vannmiljø og samisk kultur. Sentralt i emnet er også arbeid med undervisningsforløp som kan realisere potensialer for tverrfaglig jobbing og mot de tverrfaglige temaene i gjeldende lærerplan.
## Forkrav
Ingen emner i programmet
## Hvem kan ta dette emnet?
Programstudenter LUPE
## Læringsutbytte
Studenten skal etter gjennomført emne kunne:
-
gjennomføre trygg og bærekraftig friluftslivsundervisning i kyst- og vannmiljø.
-
reflektere over naturrommet/stedets betydning for læring
-
argumentere for og kunne utvikle lengre undervisningsforløp i friluftsliv som kan inkludere lokale tradisjoner, samiske kultur og de tverrfaglige temaene.
-
gjøre rede for læring basert på modellen for ""langsomt friluftsliv""
-
videreutvikle egen friluftslivsfaglig kompetanse og profesjonelle refleksjon omkring betydningen av bærekraftig og forsvarlig undervisningsplanlegging
## Læringsformer og aktiviteter
Undervisningen foregår vinter og vår i andre år av lærerutdanningen. Det vil bli lagt opp til varierte læringsformer som forelesninger, gruppearbeid og studentdrevet undervisning. Emnet vil medføre turaktivitet utenfor NIH i form av dagsopplegg samt turer som innebærer overnatting. Emnet fokuserer på friluftsliv som kan drives i skolens nærmiljø, og kyst- og vannmiljø er valgt som det sentrale i dette emnet. Studenten må stille med egnet personlig turutstyr til de ulike undervisningsoppleggene.
## Arbeidskrav
-
Krav om 100 % deltakelse på turer (inkludert forarbeid og etterarbeid) og 80 % oppmøte på annen undervisning.
-
Godkjente turplaner i forkant av turer.
-
Presentasjon av fordypningsoppgave.
Arbeidskravet må være godkjent før avsluttende vurdering.
## Vurdering/eksamen
Fordypningsoppgave bestått/ ikke bestått.
-
Studentene skal utvikle et praktisk-pedagogisk undervisningsopplegg i friluftsliv som inkluderer perspektiver tematisert i undervisning. Oppgaveteksten og vurderingskriterier presenteres ved oppstart av emnet.Omfang: 2500 ord.
-
Underveisvurdering - framovermelding.
Vi gjør oppmerksom på at oppgaver som leveres i Canvas og WISEflow blir sjekket for plagiat.",NA,NA
"nih","nih",NA,"- Kort om emnet
- Forkrav
- Hvem kan ta dette emnet?
- Læringsutbytte
- Læringsformer og aktiviteter
- Arbeidskrav
- Vurdering/eksamen
## Kort om emnet
Emnet tar for seg treningsplanlegging i ulike idretter og treningsformer og for ulike aldersgrupper med fokus på utvikling og prestasjon. Herunder vil arbeidskrav, treningsplaner og implementering av treningsformer være sentrale tema.
Forelesninger vil ha en generell tilnærming til temaene, mens studentene fordyper seg i en (eller flere) selvvalgt idrett(er) eller treningsformer.
## Forkrav
Ingen krav til emner
## Hvem kan ta dette emnet?
Studenter ved årsstudiet Treningslære og LUPE (Fag 2 og valg 4.år).
## Læringsutbytte
Studenten skal etter gjennomført emne kunne
-
anvende arbeidskravs- og kapasitetsanalyse for treningsplaner
-
utarbeide og implementere treningsplaner for ulike grupper
-
vurdere og anvende fysiske tester for treningsplaner
-
anvende ulike metoder for kvantifisering av treningsbelastning
-
gjøre rede for hvordan ulike treningsformer gjensidig påvirker hverandre
-
gjøre rede for hvordan vekst og modning påvirker fysisk kapasitet og utbytte av ulike typer trening i alderen 8-18 år
## Læringsformer og aktiviteter
Undervisningen består av forelesninger, praktiske timer, og studentaktive arbeidsmetoder. I tillegg skal hver student utarbeide og gjennomføre en 8-ukers treningsplan med påfølgende refleksjonsnotat.
## Arbeidskrav
Studentene skal levere tre arbeidskrav.
Alle arbeidskrav må være godkjent før endelig vurdering i emnet.
## Vurdering/eksamen
Muntlig eksamen. Gradert karakter A-F.",NA,NA
"nih","nih",NA,"- Kort om emnet
- Forkrav
- Hvem kan ta dette emnet?
- Læringsutbytte
- Læringsformer og aktiviteter
- Arbeidskrav
- Vurdering/eksamen
- Kjernelitteratur
## Kort om emnet
Gjennom arbeidet med pedagogiske teorier skal studentene utvikle dypere forståelse for betydningen av teori for undervisning, fag, profesjonsutvikling og egen læreridentitet. På emnet skal studentene jobbe med et utvalg av dannelsesteoretiske og kritiske perspektiver på undervisning i kroppsøving og idrettsfag, og studentene skal øve på å anvende pedagogisk teori gjennom caseoppgaver og aktuelle problemstillinger. Sentralt i emnet er relasjonen mellom teori og praksis. Studentene skal jobbe med å drøfte hvordan teori kan bidra til å utvikle undervisning, og hvordan praksis kan være utgangspunkt for å utvikle teori. Som en del av dette skal studentene drøfte hvilken rolle teori kan og skal spille i den faglige utviklingen av kroppsøving og idrettsfag.
## Forkrav
Ingen krav til emner i programmet
## Hvem kan ta dette emnet?
Programstudenter LUPE
## Læringsutbytte
Studenten skal etter gjennomført emne kunne
- redegjøre for et utvalg av pedagogiske teorier og beskrive teorienes relevans for undervisning i kroppsøving og idrettsfag
redegjøre for et utvalg av pedagogiske teorier og beskrive teorienes relevans for undervisning i kroppsøving og idrettsfag
- planlegge og gjennomføre undervisning med bevegelse og kroppslig læring på et teoretisk grunnlag.
planlegge og gjennomføre undervisning med bevegelse og kroppslig læring på et teoretisk grunnlag.
- analysere sammenhenger mellom teori og praksis i arbeidet som lærer, herunder anvende teori til å forandre praksis og anvende praksiserfaringer til å reflektere kritisk over teori.
analysere sammenhenger mellom teori og praksis i arbeidet som lærer, herunder anvende teori til å forandre praksis og anvende praksiserfaringer til å reflektere kritisk over teori.
- vurdere erfarings- og forskningsbasert kunnskap med tanke på undervisning og læring i kroppsøving, idrettsaktiviteter og andre bevegelsesaktiviteter
vurdere erfarings- og forskningsbasert kunnskap med tanke på undervisning og læring i kroppsøving, idrettsaktiviteter og andre bevegelsesaktiviteter
- vurdere, og sammen med andre diskutere, hvordan egen fagsammensetning i lærerutdanningen bidrar til utvikling av læreridentitet og profesjonsutøvelse
vurdere, og sammen med andre diskutere, hvordan egen fagsammensetning i lærerutdanningen bidrar til utvikling av læreridentitet og profesjonsutøvelse
## Læringsformer og aktiviteter
Undervisningen er lagt til høstsemesteret. Det legges opp til varierte undervisningsformer og læringsarbeid hvor studentene arbeider selvstendig og samarbeider med andre om studentframlegg og gjennomføring av praktiske oppgaver både på NIH og i skolepraksis.
## Arbeidskrav
- Emnet har krav om 80% oppmøte
Emnet har krav om 80% oppmøte
- To mappeoppgaver knyttet til skolepraksis og emneteori
To mappeoppgaver knyttet til skolepraksis og emneteori
Arbeidskravene må være godkjent for å få gå opp til eksamen.
## Vurdering/eksamen
Skriftlig hjemmeeksamen, individuell, fem dager. Gradert karakter A-F.
Vi gjør oppmerksom på at oppgaver som leveres i Canvas og WISEflow blir sjekket for plagiat.
## Kjernelitteratur
Pensumlista for høsten 2025.",NA,NA
"nih","nih",NA,"- Kort om emnet
- Forkrav
- Hvem kan ta dette emnet?
- Læringsutbytte
- Læringsformer og aktiviteter
- Arbeidskrav
- Vurdering/eksamen
- Kjernelitteratur
## Kort om emnet
Emnet gir kunnskap om vitenskapens rolle i samfunn, skole og profesjonsutvikling, og i vitenskapsteoretiske posisjoner. Emnet gir en grundig innføring i et utvalg av forskningsmetoder med vekt på human- og samfunnsvitenskapelige metoder. Studentene vil øve på å se de vitenskapsteoretiske perspektivene og metodene i sammenheng og anvende de på utforsking av profesjonsrelevante problemstillinger. Emnet skal forberede studentene til et profesjonsrelevant forskningsarbeid innen kroppsøving og/eller idrettsfag.
## Forkrav
Det er ingen absolutte krav til emner, men emnet bygger på LKI200 En inkluderende, demokratisk og allmenndannende skole (profesjonsfag) 10 sp.
## Hvem kan ta dette emnet?
Programstudenter LUPE
## Læringsutbytte
Studenten skal etter gjennomført emne kunne
- diskutere vitenskapens rolle i samfunn, skole og profesjonsutvikling og forstå sentrale vitenskapsteoretiske retninger og deres betydning for valg av forskningsmetoder
diskutere vitenskapens rolle i samfunn, skole og profesjonsutvikling og forstå sentrale vitenskapsteoretiske retninger og deres betydning for valg av forskningsmetoder
- gjøre rede for sentrale metoder innen humanistisk og samfunnsvitenskapelig forskningsarbeid
gjøre rede for sentrale metoder innen humanistisk og samfunnsvitenskapelig forskningsarbeid
- anvende ulike forskningsdesign til bruk i utforsking av profesjonsrelevante problemstillinger
anvende ulike forskningsdesign til bruk i utforsking av profesjonsrelevante problemstillinger
- anvende ulike analysemetoder i arbeidet med datamaterialet og ha kjennskap til ulike verktøy som kan anvendes i analyseprosessen
anvende ulike analysemetoder i arbeidet med datamaterialet og ha kjennskap til ulike verktøy som kan anvendes i analyseprosessen",NA,NA
"nih","nih",NA,"- Kort om emnet
- Forkrav
- Hvem kan ta dette emnet?
- Læringsutbytte
- Læringsformer og aktiviteter
- Arbeidskrav
- Vurdering/eksamen
## Kort om emnet
Praksis skal være en integrert del av fagene i utdanningen og bidra til at studentene utvikler evnen til å reflektere over og utvikle egen profesjonsutøvelse. Praksis i dette emnet gjennomføres i grunnopplæringen, innenfor trinn 1-13. Det vil være mulig å velge praksissted innenfor trinn 1-13 i grunnopplæringen, høst og vår. Praksissted må godkjennes før gjennomføring.
## Forkrav
Ingen emner i programmet
## Hvem kan ta dette emnet?
Programstudenter LUPE
## Læringsutbytte
Studenten skal etter gjennomført emne kunne
- reflektere rundt oppgaver der man har observert oppgaver utført av ledelse, sosiallærer, miljøteam og andre sentrale personer i eller rundt skoleledelsen.
reflektere rundt oppgaver der man har observert oppgaver utført av ledelse, sosiallærer, miljøteam og andre sentrale personer i eller rundt skoleledelsen.
- reflektere rundt erfaringer med undervisning i sitt undervisningsfag 2 i løpet av praksisperioden
reflektere rundt erfaringer med undervisning i sitt undervisningsfag 2 i løpet av praksisperioden
- kan analysere og vurdere relevante og faglige etiske problemstillinger og gjennomføre relevante tiltak
kan analysere og vurdere relevante og faglige etiske problemstillinger og gjennomføre relevante tiltak
- drøfte hvordan kroppsøving, idrettsfag og valgte undervisningsfag 2 kan bidra i tverrfaglig arbeid og til utvikling av læringsmiljøet
drøfte hvordan kroppsøving, idrettsfag og valgte undervisningsfag 2 kan bidra i tverrfaglig arbeid og til utvikling av læringsmiljøet
- bruke og reflektere rundt kommunikasjons- og relasjonskompetanse i lærerrollen
bruke og reflektere rundt kommunikasjons- og relasjonskompetanse i lærerrollen
- reflektere rundt hvordan ulike skolekulturer kan påvirke elevenes utvikling og læring og profesjonsfelleskapets utvikling, og drøfte rollen skolen har i samfunnet
reflektere rundt hvordan ulike skolekulturer kan påvirke elevenes utvikling og læring og profesjonsfelleskapets utvikling, og drøfte rollen skolen har i samfunnet
## Læringsformer og aktiviteter
Skolepraksis foregår i grunnutdanningen. Denne praksisen må være veiledet og selvvalgt praksisplass må godkjennes av NIH på forhånd. Det gjennomføres 20 dager praksis på høsten og 10 dager praksis på våren. Totalt 30 arbeidsdager. Det er mulig med selvvalgt praksisplass både høst og vår. Praksis kan også foregå på enkelte andre dager/kvelder i forbindelse med planleggingsdager, foreldremøter, elevsamtaler, foreldresamtaler, aktivitetsdager, ekskursjoner mm.
I praksisstudiene inngår ulike arbeidsformer i tillegg til planlegging, gjennomføring av egen og andres (medstudents og praksislærers) undervisning. Det kan dreie seg om ulike observasjonsoppgaver, gi/motta kollegaveiledning, utforme refleksjonsnotat, holde innlegg/framlegg, delta på foreldremøter og lærer-/personalmøter, gjennomføre lokale undersøkelser av ulik art og drive utviklingsarbeid i kroppsøving og/eller idrettsfag.
## Arbeidskrav
-
Krav om 100 % fremmøte i praksis, inkludert for- og etterarbeid på NIH.
-
Innlevering av refleksjonsnotat før praksis. Oppgave knyttet til LKI400.
-
Refleksjon i form av podcast eller annen digital fremstilling fra praksisopphold(ene).
Arbeidskravene må være godkjent før avsluttende vurdering.
## Vurdering/eksamen
Praksislærers vurdering av studentenes praksis vurderes til bestått/ ikke bestått.",NA,NA
"nih","nih",NA,"- Kort om emnet
- Forkrav
- Hvem kan ta dette emnet?
- Læringsutbytte
- Læringsformer og aktiviteter
- Arbeidskrav
- Vurdering/eksamen
- Kjernelitteratur
## Kort om emnet
Emnet omhandler det å være lærer i framtidens skole. Sentralt er å skape en forståelse av det samfunnet skolen er en del av, forventninger til lærerrollen og kritisk drøfting av hvordan forskning, erfaringsbasert kunnskap og eget masterprosjekt kan bidra til profesjonsforståelse og skoleutvikling. Emnet bygger på internasjonale perspektiver og studentens egen profesjonsutvikling. Emnet legger vekt på kritisk refleksjon og setter lærerprofesjonen og de praktiske og estetiske fagene, kroppsøving og idrettsfag spesielt, inn i en historisk, kulturell og samfunnsmessig sammenheng.
## Forkrav
Emnet har ingen forkrav, men bygger på LKI400.
## Hvem kan ta dette emnet?
Programstudenter LUPE
## Læringsutbytte
Studenten skal etter gjennomført emne kunne
-
vurdere egen praksis, læreridentitet og profesjonsutvikling i lys av forskningsbasert kunnskap
-
ha innsikt i ulike forståelser av tverrprofesjonelt arbeid og kritisk reflektere over eget bidrag og rolle som lærer i kroppsøving og idrettsfag inn i det tverrprofesjonelle arbeidet
-
gjøre rede for egen praksisteori og ulike tilnærminger til kunnskapsproduksjon og undervisning innenfor det praktiske og estetiske fagområdet, kroppsøving og idrettsfag spesielt
-
bidra til forståelse av etiske og faglige problemstillinger knyttet til samenes status som urfolk, og ulike kulturers bevegelsestradisjoner
-
diskutere utvikling av lærerrolle, kroppsøving og idrettsfag i lys av samfunnsutvikling, bærekraftperspektiv og uvisshet om framtiden
## Læringsformer og aktiviteter
Undervisningen er lagt til både høst- og vårsemesteret. Det legges opp til varierte undervisningsformer og læringsarbeid. Det forventes at studentene opptrer som profesjonsutdannet og forbereder seg, deltar i samarbeid, medvirker og viser ansvar for egen og hverandres læring. Arbeidsformer og læringsaktiviteter vil bli drøftet og utarbeidet i dialog med studentene, eventuelt også med praksisfeltet skole, kroppsøving og idrett som medvirker.
## Arbeidskrav
-
80 % oppmøte
-
Det gis tre innleveringsoppgaver i emnet. De er knyttet til (a) populærvitenskaplig formidling med utgangspunkt i eget masterprosjekt, (b) tverrprofesjonelt arbeid, og (c) faglig og profesjonell utvikling.
Arbeidskravene må være godkjent for å få gå opp til eksamen.
## Vurdering/eksamen
Mappeeksamen basert på arbeidskrav i emnet. Gradert karakter A-F.
Vi gjør oppmerksom på at oppgaver som leveres i Canvas og WISEflow blir sjekket for plagiat.
## Kjernelitteratur
Pensumliste for høsten 2025 og våren 2026.",NA,NA
