"institution_short","course_code_norm","year","hv","url","status","ok","bytes","sha1","course_name_no","fulltext"
"nih","LKI152-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki152.html",404,FALSE,NA,NA,NA,NA
"nih","LKI530-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki530.html",200,TRUE,249,"ac09325ca9d6d27c03c2bb34da402220c25bc987",NA,NA
"nih","LKI520-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki520.html",200,TRUE,249,"f840239ad79c1d1a42650d0371b7d79580797b1c",NA,NA
"nih","LKI510-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki510.html",200,TRUE,249,"168c6313eb173f8c0e8d32b2bfdd52658f879679",NA,NA
"nih","LKI230-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki230.html",404,FALSE,NA,NA,NA,NA
"nih","LKI235-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki235.html",404,FALSE,NA,NA,NA,NA
"nih","LKI300-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki300.html",404,FALSE,NA,NA,NA,NA
"nih","LKI111-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki111.html",404,FALSE,NA,NA,NA,NA
"nih","LKI115-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki115.html",404,FALSE,NA,NA,NA,NA
"nih","LKI120-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki120.html",404,FALSE,NA,NA,NA,NA
"nih","LKI125-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki125.html",200,TRUE,249,"97eebe93c0803270433e0ca1cc92269c22154229",NA,NA
"nih","LKI130-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki130.html",404,FALSE,NA,NA,NA,NA
"nih","LKI200-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki200.html",404,FALSE,NA,NA,NA,NA
"nih","LKI201-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki201.html",404,FALSE,NA,NA,NA,NA
"nih","LKI205-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki205.html",404,FALSE,NA,NA,NA,NA
"nih","LKI210-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki210.html",404,FALSE,NA,NA,NA,NA
"nih","LKI211-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki211.html",404,FALSE,NA,NA,NA,NA
"nih","LKI212-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki212.html",404,FALSE,NA,NA,NA,NA
"nih","LKI215-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki215.html",404,FALSE,NA,NA,NA,NA
"nih","LKI220-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki220.html",200,TRUE,249,"65ba3bc22d0cf66ace2d30e36a2f8c96e4cf3586",NA,NA
"nih","LKI221-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki221.html",404,FALSE,NA,NA,NA,NA
"nih","LKI225-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki225.html",404,FALSE,NA,NA,NA,NA
"nih","LKI226-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki226.html",404,FALSE,NA,NA,NA,NA
"nih","LKI500-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki500.html",200,TRUE,249,"a3f3375af2aab703c3f2c4c412db7f62876e59e1",NA,NA
"nih","LKI400-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki400.html",200,TRUE,249,"df7a97ed5016d2f8fcd50ff346e7fe70db10c8d3",NA,NA
"nih","LKI410-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki410.html",200,TRUE,249,"eeb2860ce4034b64df0684e60847e9a814c925b1",NA,NA
"nih","LKI430-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki430.html",200,TRUE,249,"45fa3054ab3fe25219ee31c50ef0fe154ab65ac5",NA,NA
"nih","LKI236-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki236.html",200,TRUE,249,"9f42aa0925efd694a290f5a58b2c579363a0bad6",NA,NA
"nih","LKI106-1",2026,"V","https://www.nih.no/studier/emner/2026/var/lki106.html",200,TRUE,249,"42faef4c1f27282abb3653acd73dbef0c5feadc2",NA,NA
"nih","LKI105-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki105.html",404,FALSE,NA,NA,NA,NA
"nih","LKI100-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki100.html",200,TRUE,249,"0047f2855a3ddc708504cf4c9ef23b792046cc68",NA,NA
"nih","LKI110-1",2025,"H","https://www.nih.no/studier/emner/2025/host/lki110.html",200,TRUE,249,"3fa227e1e67073b4be1a840d697a6e97c060646d",NA,NA
