"course_code_norm","year","hv","url"
"4MGL1ENG101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1eng101/"
"4MGL1ENG102-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1eng102/"
"4MGL5VIT301-1",2025,"H","https://www.nla.no/studietilbud/emner/2025/4mgl5vit301/"
"4MGL5SA-M-1",2025,"H","https://www.nla.no/studietilbud/emner/2025/4mgl5sa-m/"
"4MGL5SA302-1",2025,"H","https://www.nla.no/studietilbud/emner/2025/4mgl5sa302/"
"4MGL5SA301-1",2025,"H","https://www.nla.no/studietilbud/emner/2025/4mgl5sa301/"
"4MGL5PROP-M-1",2025,"H","https://www.nla.no/studietilbud/emner/2025/4mgl5prop-m/"
"4MGL5PE202-1",2025,"H","https://www.nla.no/studietilbud/emner/2025/4mgl5pe202/"
"MGL1VIT301-1",2025,"H","https://www.nla.no/studietilbud/emner/2025/mgl1vit301/"
"4MGL5MU101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5mu101/"
"4MGL5MU101U-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5mu101u/"
"4MGL5MU201-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5mu201/"
"4MGL5NA101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5na101/"
"4MGL5NA201-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5na201/"
"4MGL1DIP-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1dip/"
"4MGL1FOU201-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1fou201/"
"4MGL5NO101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5no101/"
"4MGL5NO102-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5no102/"
"4MGL5NO103-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5no103/"
"4MGL5NO201-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5no201/"
"4MGL5NO202-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5no202/"
"4MGL5NO203-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5no203/"
"4MGL5PE101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5pe101/"
"4MGL1KRLE101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1krle101/"
"4MGL1KRLE200-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1krle200/"
"4MGL1KRLE212-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1krle212/"
"4MGL1KRLE213-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1krle213/"
"4MGL1MA101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1ma101/"
"4MGL1MA102-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1ma102/"
"4MGL1MA103-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1ma103/"
"4MGL1MA204-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1ma204/"
"4MGL1MU101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1mu101/"
"4MGL1NA101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1na101/"
"4MGL1NO101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1no101/"
"4MGL5PE102-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5pe102/"
"4MGL5PE103-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5pe103/"
"4MGL5PR0-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5pr0/"
"4MGL5PR1-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5pr1/"
"4MGL5PR2-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5pr2/"
"4MGL5PR3-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5pr3/"
"4MGL1NO102-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1no102/"
"4MGL1NO103-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1no103/"
"4MGL1NO201-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1no201/"
"4MGL1PE101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1pe101/"
"4MGL1PE102-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1pe102/"
"4MGL1PE103-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1pe103/"
"4MGL1PR1-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1pr1/"
"4MGL1PR2-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1pr2/"
"4MGL1PR3-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1pr3/"
"4MGL1PR4-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1pr4/"
"4MGL1PR5-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1pr5/"
"4MGL1PROP101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1prop101/"
"4MGL5PR4-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5pr4/"
"4MGL5PR5-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5pr5/"
"4MGL5PROP101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5prop101/"
"4MGL5PROP102-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5prop102/"
"4MGL5SA101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5sa101/"
"4MGL5SA201-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl5sa201/"
"4MGL1PROP102-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/4mgl1prop102/"
"MGL1DIP-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/mgl1dip/"
"MGL1FOU201-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/mgl1fou201/"
"MGL1KRLE101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/mgl1krle101/"
"MGL1KRLE200-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/mgl1krle200/"
"MGL1KRLE211-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/mgl1krle211/"
"MGL1KRLE212-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/mgl1krle212/"
"MGL1K<U+00D8>101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/mgl1k<U+00F8>101/"
"MGL1MA101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/mgl1ma101/"
"MGL1MA102-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/mgl1ma102/"
"MGL1MA103-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/mgl1ma103/"
"MGL1NA101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/mgl1na101/"
"MGL1NO101-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/mgl1no101/"
"MGL1NO102-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/mgl1no102/"
"MGL1NO103-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/mgl1no103/"
"MGL1NO201-1",2026,"V","https://www.nla.no/studietilbud/emner/2026/mgl1no201/"
