"course_code_norm","year","hv","url"
"M30-LUN-1",NA,NA,"https://www.nmbu.no/emne/M30-LUN"
"SPE-M-LUN-1",NA,NA,"https://www.nmbu.no/emne/SPE-M-LUN"
"M60-LUN-1",NA,NA,"https://www.nmbu.no/emne/M60-LUN"
"PPFO301-1",NA,NA,"https://www.nmbu.no/emne/PPFO301"
"PPPE301-1",NA,NA,"https://www.nmbu.no/emne/PPPE301"
"PPRA301-1",NA,NA,"https://www.nmbu.no/emne/PPRA301"
"PPUT301-1",NA,NA,"https://www.nmbu.no/emne/PPUT301"
"PPXP100-1",NA,NA,"https://www.nmbu.no/emne/PPXP100"
"FYS100-1",NA,NA,"https://www.nmbu.no/emne/FYS100"
"MATH100-1",NA,NA,"https://www.nmbu.no/emne/MATH100"
"PPFD301-1",NA,NA,"https://www.nmbu.no/emne/PPFD301"
"PPRA200-1",NA,NA,"https://www.nmbu.no/emne/PPRA200"
"PPRA201-1",NA,NA,"https://www.nmbu.no/emne/PPRA201"
