"course_code_norm","year","hv","url"
"SMI5003-1",NA,NA,"https://www.nord.no/studier/emner/smi5003"
"SMI2002-1",NA,NA,"https://www.nord.no/studier/emner/smi2002"
"SMI1004-1",NA,NA,"https://www.nord.no/studier/emner/smi1004"
"SMI1003-1",NA,NA,"https://www.nord.no/studier/emner/smi1003"
"SMI5004-1",NA,NA,"https://www.nord.no/studier/emner/smi5004"
"HI318LS-1",NA,NA,"https://www.nord.no/studier/emner/hi318ls"
"MAT5002-1",NA,NA,"https://www.nord.no/studier/emner/mat5002"
"MAT5001-1",NA,NA,"https://www.nord.no/studier/emner/mat5001"
"ENG5002-1",NA,NA,"https://www.nord.no/studier/emner/eng5002"
"ENG5004-1",NA,NA,"https://www.nord.no/studier/emner/eng5004"
"MAT5004-1",NA,NA,"https://www.nord.no/studier/emner/mat5004"
"MAT5005-1",NA,NA,"https://www.nord.no/studier/emner/mat5005"
"HI310LS-1",NA,NA,"https://www.nord.no/studier/emner/hi310ls"
"ENG5001-1",NA,NA,"https://www.nord.no/studier/emner/eng5001"
"ENG5005-1",NA,NA,"https://www.nord.no/studier/emner/eng5005"
"ENG1003-1",NA,NA,"https://www.nord.no/studier/emner/eng1003"
"HIS1050-1",NA,NA,"https://www.nord.no/studier/emner/his1050"
"ENG1001-1",NA,NA,"https://www.nord.no/studier/emner/eng1001"
"ENG1002-1",NA,NA,"https://www.nord.no/studier/emner/eng1002"
"MUS1061-1",NA,NA,"https://www.nord.no/studier/emner/mus1061"
"ENG1011-1",NA,NA,"https://www.nord.no/studier/emner/eng1011"
"ENG1004-1",NA,NA,"https://www.nord.no/studier/emner/eng1004"
"ENG1012-1",NA,NA,"https://www.nord.no/studier/emner/eng1012"
"ENG1014-1",NA,NA,"https://www.nord.no/studier/emner/eng1014"
"ENG2001-1",NA,NA,"https://www.nord.no/studier/emner/eng2001"
"ENG2010-1",NA,NA,"https://www.nord.no/studier/emner/eng2010"
"ENG2002-1",NA,NA,"https://www.nord.no/studier/emner/eng2002"
"SP156L-1",NA,NA,"https://www.nord.no/studier/emner/sp156l"
"KRO5007-1",NA,NA,"https://www.nord.no/studier/emner/kro5007"
