"course_code_norm","year","hv","url"
"MGLU4106-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4106#tab=omEmnet"
"MGLU4114-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4114#tab=omEmnet"
"MGLU5503-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5503#tab=omEmnet"
"MGLU5233-1",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5233#tab=omEmnet"
"MGLU5227-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5227#tab=omEmnet"
"MGLU5239-1",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5239#tab=omEmnet"
"MGLU5229-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5229#tab=omEmnet"
"MGLU5203-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5203#tab=omEmnet"
"MGLU5202-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5202#tab=omEmnet"
"MGLU5212-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5212#tab=omEmnet"
"MGLU5204-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5204#tab=omEmnet"
"MGLU5207-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5207#tab=omEmnet"
"MGLU5206-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5206#tab=omEmnet"
"MGLU5205-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5205#tab=omEmnet"
"MGLU4514-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4514#tab=omEmnet"
"MGLU5108-1",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5108#tab=omEmnet"
"MGLU4212-1",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4212#tab=omEmnet"
"MGLU4211-1",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4211#tab=omEmnet"
"MGLU4506-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4506#tab=omEmnet"
"MGLU4503-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4503#tab=omEmnet"
"MGLU4502-1",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4502#tab=omEmnet"
"MGLU4202-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4202#tab=omEmnet"
"TEGN1000-1",NA,NA,"https://www.ntnu.no/studier/emner/TEGN1000#tab=omEmnet"
"TEGN1001-1",NA,NA,"https://www.ntnu.no/studier/emner/TEGN1001#tab=omEmnet"
"LKRO001E-A",NA,NA,"https://www.ntnu.no/studier/emner/LKRO001E#tab=omEmnet"
"MGLU1105-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU1105#tab=omEmnet"
"MGLU2105-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU2105#tab=omEmnet"
"MGLU1901-1",NA,NA,"https://www.ntnu.no/studier/emner/MGLU1901#tab=omEmnet"
"MGLU1505-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU1505#tab=omEmnet"
"MGLU2505-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU2505#tab=omEmnet"
"LÆR2004-1",NA,NA,"https://www.ntnu.no/studier/emner/LÆR2004#tab=omEmnet"
"MGLU4516-1",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4516#tab=omEmnet"
"MGLU3104-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU3104#tab=omEmnet"
"MGLU3103-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU3103#tab=omEmnet"
"MGLU3503-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU3503#tab=omEmnet"
"MGLU3504-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU3504#tab=omEmnet"
"MGLU4504-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4504#tab=omEmnet"
"MGLU5235-1",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5235#tab=omEmnet"
"MGLU5225-1",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5225#tab=omEmnet"
"MGLU3122-1",NA,NA,"https://www.ntnu.no/studier/emner/MGLU3122#tab=omEmnet"
"MGLU3522-1",NA,NA,"https://www.ntnu.no/studier/emner/MGLU3522#tab=omEmnet"
"MGLU5504-1",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5504#tab=omEmnet"
"MGLU4111-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4111#tab=omEmnet"
"MGLU4110-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4110#tab=omEmnet"
"MGLU4109-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4109#tab=omEmnet"
"MGLU4104-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4104#tab=omEmnet"
"MGLU4103-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4103#tab=omEmnet"
"MGLU4101-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4101#tab=omEmnet"
"MGLU5520-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5520#tab=omEmnet"
"MGLU5508-1",NA,NA,"https://www.ntnu.no/studier/emner/MGLU5508#tab=omEmnet"
"MGLU4203-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4203#tab=omEmnet"
"MGLU4501-A",NA,NA,"https://www.ntnu.no/studier/emner/MGLU4501#tab=omEmnet"
