"institution","course_code","url","fulltekst_renset","arbeidskrav","status_code"
"ntnu","ntnu",NA,"## Om emnet
## Faglig innhold
Veiledet forskningsprosjekt på 30 sp innen biologi, biologididaktikk eller biologihistorie.
Studenten skal, gjennom et selvstendig forskningsarbeid, få øvelse i metodisk og systematisk arbeid med en problemstilling innenfor biologi, biologididaktikk eller biologihistorie.
## Læringsutbytte
Studenten
- kan arbeide metodisk og systematisk med en problemstilling innenfor biologididaktikk
- kan planlegge og gjennomføre et selvstendig forskningsprosjekt i tråd med vitenskapelige og forskningsetiske prinsipper
- kan diskutere og formidle kunnskap om eget forskningsfelt både med fagfolk og andre
## Læringsformer og aktiviteter
Seminarer, individuelt arbeid, individuell veiledning. Alle studenter skal inngå avtale om gjennomføring av masteroppgaven. Avtalen bekrefter at tema for masteroppgaven er godkjent og at partene er kjent med og har akseptert gjeldende retningslinjer for gjennomføring.
## Obligatoriske aktiviteter
- Muntlig presentasjon av masteroppgaven
- Veiledningssamtale
- Presentasjon av manusutkast
## Spesielle vilkår
Krever opptak til studieprogram:
Lektorutdanning i realfag for trinn 8 – 13 (MLREAL)
## Forkunnskapskrav
Studiets fire første år må være gjennomført og bestått. All praksis i lektorutdanningen må være avsluttet og bestått. Forkunnskapskravet må være innfridd for å starte på emnet.
## Fagområder
- Biologi
- Realfagsdidaktikk
- Naturfag
- Realfag",NA,NA
"ntnu","ntnu",NA,"## Om emnet
## Faglig innhold
Studentene følger undervisningen i ett av de valgbare påbyggingsemnene i engelsk, men avlegger eksamen i emnet ENG2900 Bacheloroppgave i engelsk i stedet for ordinær eksamen i det valgbare påbyggingsemnet. Faglig innhold vil avhenge av hvilket påbyggingsemne studenten velger å skrive bacheloroppgave i. Studentene skal være like godt kjent med pensum i det valgbare påbyggingsemnet de følger undervisningen i som studenter som tar ordinær eksamen i påbyggingsemnet, men må selvstendig utvikle en egen problemstilling i dialog med faglærer.
Bacheloroppgaven erstatter ordinær eksamen i det valgte påbyggingsemnet i engelsk.
Alle studenter skal skrive et sammendrag av bacheloroppgaven på ca. 1/2 side. Sammendraget skal skrives på både engelsk og norsk og skal stå først i oppgaven, like før innholdsfortegnelsen.
## Læringsutbytte
Læringsmål
Ferdigheter
Kandidater som har bestått dette emnet
- har evne til å formulere og avgrense en vitenskapelig problemstilling
- kan skrive en akademisk tekst på engelsk
- kan analysere, organisere og formidle innsamlet kunnskap
- kan bruke fagterminologi og metoder som kreves i et vitenskapelig arbeid
Utover dette vil læringsmålene sammenfalle med læringsmålene innenfor emnekoden studenten følger undervisningen i.
## Læringsformer og aktiviteter
Læringsformer og aktiviteter
Studenter må skrive bacheloroppgaven i tilknytning til et påbyggingsemne i engelsk som undervises i det aktuelle semesteret.
Lektorstudenter skal normalt skrive oppgaven i sitt 6.semester (vår), og må dermed velge et av emnene som undervises på våren. Alternativt kan de skrive i tilknytning til ENG2153 i 5.semester (høst).
Bachelorstudenter i engelsk kan velge om de vil skrive bacheloroppgaven på høsten eller våren og kan velge mellom alle påbyggingsemner i engelsk. Normalt vil dette være enten 5. eller 6.semester.
Obligatorisk aktivitet
Godkjent prosjektbeskrivelse for/skisse med litteraturliste til bacheloroppgaven (om lag 500-600 ord/1-2 sider). Prosjektbeskrivelsen erstatter annen obligatorisk aktivitet i det påbyggingsemnet som studenten følger undervisningen i.
## Obligatoriske aktiviteter
- Godkjent prosjektbeskrivelse for/skisse med litteraturliste til bacheloroppgaven (om lag 500-600 ord/1-2 sider).
## Mer om vurdering
Mer om vurdering:
Bacheloroppgaven erstatter ordinær eksamen i et valgbart påbyggingsemne i engelsk. Bacheloroppgaven skal være en selvstendig prosjektoppgave med et omfang på 4000 ord, ikke medregnet litteraturliste eller vedlegg. Ved sensur forventes det at studenten demonstrerer større faglig dybde og oversikt over faget i denne oppgaven, som skrives over et semester, enn for en hjemmeeksamen eller annen ordinær eksamen i valgbare påbyggingsemner, som skrives over et mer begrenset tidsrom.
Studentene må skrive bacheloroppgaven i tilknytning til et påbyggingsemne som blir undervist i det semesteret oppgaven skrives (femte eller sjette semester for BENG; sjette semester for MLSPRÅK). Dette gjelder også ved gjentak. Oppgaven skal i sin helhet skrives på engelsk.
## Spesielle vilkår
Krever opptak til studieprogram:
Engelsk (BENG)
Lektorutdanning i språkfag for trinn 8 – 13 (MLSPRÅK)
## Anbefalte forkunnskaper
Fullført basisdel (ENG1000-emner) i engelsk eller tilsvarende godkjent utdanning.
## Forkunnskapskrav
Krever opptak til bachelor i engelsk (BENG) eller femårig lektorutdanning i språkfag (MLSPRÅK), studieretning engelsk.
## Kursmateriell
Kursmateriell
Kursmateriell vil avhenge av hvilket påbyggingsemne studenten velger å skrive bacheloroppgave i. Studentene skal være like godt kjent med pensum i det valgbare påbyggingsemnet de følger undervisningen i som studenter som tar ordinær eksamen i påbyggingsemnet, men må selvstendig utvikle en egen problemstilling og et tilleggspensum i dialog med faglærer.
## Studiepoengreduksjon
## Fagområder
- Engelsk språk
- Engelsk litteratur
- Engelsk
- Engelsk kulturkunnskap
- Engelsk litteraturvitenskap
- Engelsk språkvitenskap",NA,NA
"ntnu","ntnu",NA,"## Om emnet
## Faglig innhold
Faglig innhold
En vitenskapelig undersøkelse på ca. 15 000 ord, ikke medregnet forord, litteraturliste, fotnoter eller vedlegg om et språklig eller litterært emne, et emne i kulturhistorie. Det er også mulig å velge et tverrdisiplinært emne. Masteroppgaven kan ta for seg fagdidaktiske problemstillinger innen disiplinene.
Studenten skal skrive et sammendrag av masteroppgaven på 1/2 - 1 side. Sammendraget skal skrives på både engelsk og norsk og skal stå først i masteroppgaven, like før innholdsfortegnelsen.
Studenten skal i et eget tillegg på inntil én side gjøre rede for masterarbeidets relevans for virket som lektor. Dette tillegget skal stå sist i oppgaven, like etter litteraturlisten.
Oppgaven og tillegget skal skrives på engelsk.
## Læringsutbytte
Læringsmål
Kunnskap
En kandidat som har bestått dette emnet
- har opparbeidet seg betydelig kunnskap innen oppgavens tema
Ferdigheter
En kandidat som har bestått dette emnet
- er i stand til å skrive en akademisk avhandling på ca. 15 000 ord på engelsk om et emne innenfor en eller flere disipliner innen engelsk (litteratur, kulturhistorie, eller lingvistikk). Oppgaven kan behandle emnet fra et pedagogisk perspektiv.
- er i stand til å definere et passende forskningstema for en slik oppgave, utarbeide en tilstrekkelig bibliografi og utnytte kildemateriale i tråd med standarder for akademisk referansebruk
- er i stand til å relatere sin oppgave til relevant faglitteratur, gjøre hensiktsmessig bruk av slik litteratur i analyse og argumentasjon og anvende teoretiske begreper på en produktiv og innsiktsfull måte
- er i stand til å skrive en slik oppgave med en sammenhengende og ryddig struktur og å formulere tanker og ideer på en klar og presis måte
Generell kompetanse
En kandidat som har bestått dette emnet
- er i stand til å skrive flytende engelsk uten mange feil i grammatikk, rettskrivning og stil
- er i stand til å produsere et manuskript som er tilstrekkelig revidert og redigert med hensyn til lesbarhet, typografiske feil, paginering og andre visuelle krav.
## Læringsformer og aktiviteter
Læringsformer og aktiviteter
Individuell veiledning. Normert antall veiledningstimer for masteroppgaver ved Det humanistiske fakultet er beskrevet i følgende link: https://innsida.ntnu.no/wiki/-/wiki/Norsk/Masteravtale+HF
Obligatoriske aktiviteter
- godkjent tema for masteroppgaven
- godkjent problemstilling/prosjektskisse og disposisjon (1-3 sider)
- minimum én individuell eller gruppeveiledning etter at prosjektskissen er godkjent
## Obligatoriske aktiviteter
- Godkjent tema for masteroppgaven
- Godkjent problemstilling/prosjektskisse og disposisjon (1-3 sider)
- Minimum én individuell eller gruppeveiledning etter at prosjektskissen er godkjent
## Mer om vurdering
Mer om vurdering
Masteroppgaven skrives på engelsk. Sluttvurderingen av masteroppgaven justeres gjennom en muntlig eksamen på ca. 15-20 minutter. Muntlig eksamen avholdes på engelsk.
Det vil ikke bli arrangert muntlig eksamen dersom masteroppgaven ikke er bestått.
Studenter som har fått bestått karakter på masteroppgaven i engelsk har ikke anledning til å få vurdert en ny masteroppgave i engelsk (jf. NTNUs studieforskrift §5-9).
Studenter som ikke består masteroppgaven, må søke instituttet for å få adgang til å levere en ny masteroppgave (jf. utfyllende regler til studieforskriften for Det humanistiske fakultet §5-9).
## Spesielle vilkår
Krever opptak til studieprogram:
Lektorutdanning i språkfag for trinn 8 – 13 (MLSPRÅK) - enkelte retninger
Master med integrert praktisk-pedagogisk utdanning (MPPU)
## Forkunnskapskrav
Krever opptak til femårig lektorutdanning i språkfag (MLSPRÅK), studieretning engelsk, eller Master med integrert praktisk-pedagogisk utdanning (MPPU), studieretning engelsk.
## Fagområder
- Engelsk språk
- Engelsk litteratur
- Engelsk
- Engelsk kulturkunnskap
- Engelsk litteraturvitenskap
- Engelsk språkvitenskap",NA,NA
"ntnu","ntnu",NA,"## Om emnet
## Faglig innhold
En vitenskapelig undersøkelse på fransk om et språklig eller litterært emne, et emne i kulturhistorie eller et tverrdisiplinært emne. Masteroppgaven kan ta for seg fagdidaktiske problemstillinger innenfor disse disiplinene. Oppgaven skal ha et omfang på ca. 15 000 ord, ikke medregnet forord, litteraturliste og vedlegg.
Alle studenter skal skrive et sammendrag av masteroppgaven på 1/2 - 1 side. Sammendraget skal skrives på både fransk og norsk og skal stå først i masteroppgaven, like før innholdsfortegnelsen.
Studenten skal i et eget tillegg på inntil én side i masteroppgaven gjøre rede for masterarbeidets relevans for virket som lektor.
## Læringsutbytte
Kunnskaper
Kandidater som har bestått dette emnet
- har inngående kunnskaper om et selvvalgt tema innen språk-, litteratur- og/eller kulturvitenskap
Ferdigheter
Kandidater som har bestått dette emnet
- behersker vitenskapelig metode og kan anvende teoretiske tilnærminger til å utarbeide problemstillinger
- kan gjennomføre et eget forskningsarbeid innenfor språk, litteratur, kulturhistorie eller et tverrdisiplinært emne
- behersker akademisk fremstilling på fransk muntlig og skriftlig
- kan beskrive arbeidets betydning for profesjonen som lektor i skolen
Generell kompetanse
Kandidater som har bestått dette emnet
- kan arbeide med store tekstmengder, skape oversikt og trekke ut hovedpunkter
- har en kritisk tilnærming til sitt materiale og har evne til å strukturere og formulere ideer klart og innsiktsfullt
- har avanserte analytiske ferdigheter og evne til kritisk refleksjon
## Læringsformer og aktiviteter
Eget arbeid, kombinert med personlig veiledning. Normert antall veiledningstimer for masteroppgaver ved Det humanistiske fakultet er beskrevet i følgende link: https://innsida.ntnu.no/wiki/-/wiki/Norsk/Masteravtale+HF
## Mer om vurdering
Masteroppgaven skrives på fransk. Sluttvurderingen av masteroppgaven justeres gjennom en muntlig eksamen på ca. 20-30 minutter. Muntlig eksamen avholdes på fransk. Det vil ikke bli arrangert muntlig eksamen dersom masteroppgaven ikke er bestått.
Studenter som har fått bestått karakter på masteroppgaven i fransk har ikke anledning til å få vurdert en ny masteroppgave i fransk (jf. NTNUs studieforskrift §5-9).
Studenter som ikke består masteroppgaven, må søke instituttet for å få adgang til å levere en ny masteroppgave (jf. utfyllende regler til studieforskriften for Det humanistiske fakultet §5-9)
## Spesielle vilkår
Krever opptak til studieprogram:
Lektorutdanning i språkfag for trinn 8 – 13 (MLSPRÅK)
Master med integrert praktisk-pedagogisk utdanning (MPPU)
## Forkunnskapskrav
Krever opptak til femårig lektorutdanning i språkfag (MLSPRÅK), studieretning fransk, eller Master med integrert praktisk-pedagogisk utdanning (MPPU), studieretning fransk.
## Fagområder
- Fransk språk
- Fransk litteratur
- Fransk
- Fransk kulturkunnskap
- Fransk litteraturvitenskap
- Fransk språkvitenskap",NA,NA
"ntnu","ntnu",NA,"## Om emnet
## Faglig innhold
Veiledet forskningsprosjekt på 30 sp innen fysikk, fysikkdidaktikk eller fysikkhistorie.
Studenten skal, gjennom et selvstendig forskningsarbeid, få øvelse i metodisk og systematisk arbeid med en problemstilling innenfor fysikk, fysikkdidaktikk eller fysikkhistorie.
## Læringsutbytte
Studenten
- kan arbeide metodisk og systematisk med en problemstilling innenfor fysikkdidaktikk
- kan planlegge og gjennomføre et selvstendig forskningsprosjekt i tråd med vitenskapelige og forskningsetiske prinsipper
- kan diskutere og formidle kunnskap om eget forskningsfelt både med fagfolk og andre
## Læringsformer og aktiviteter
Seminarer, individuelt arbeid, individuell veiledning. Alle studenter skal inngå avtale om gjennomføring av masteroppgaven. Avtalen bekrefter at tema for masteroppgaven er godkjent og at partene er kjent med og har akseptert gjeldende retningslinjer for gjennomføring.
## Obligatoriske aktiviteter
- Muntlig presentasjon av masteroppgaven
- Presentasjon av manusutkast
- Veiledningssamtale
## Spesielle vilkår
Krever opptak til studieprogram:
Lektorutdanning i realfag for trinn 8 – 13 (MLREAL)
## Forkunnskapskrav
Studiets fire første år må være gjennomført og bestått. All praksis i lektorutdanningen må være avsluttet og bestått. Forkunnskapskravet må være innfridd for å starte på emnet.
## Fagområder
- Realfagsdidaktikk
- Fysikk
- Naturfag
- Realfag",NA,NA
"ntnu","ntnu",NA,"## Om emnet
## Faglig innhold
Emnet gir mulighet for faglig fordypning og erfaring med å gjennomføre et selvstendig arbeid gjennom en oppgaveprosess. Arbeidet med bacheloroppgaven skal gi trening i å gjennomføre et begrenset utrednings- eller forskningsarbeid. Studentene velger problemstilling for oppgaven innen temaet bærekraftig utvikling. Emnet vil ha et særskilt fokus på bærekraftig utvikling som et tverrfaglig tema i skolen.
Bacheloroppgaven skal inneholde en vitenskapelig framstilling av det valgte temaet; presist formulerte forskningsspørsmål, begrunnede metodevalg og systematisk argumentasjon. Videre skal studenten bruke relevant faglitteratur. Det empiriske grunnlaget for analysen kan være observasjonsdata, intervjudata eller andre tilgjengelige data. Oppgaven kan også være en litteraturstudie.
Oppgaven skal følge vitenskapelige standarder med hensyn til referanseføring og forskningsetiske normer.
Bacheloroppgaven skal skrives i løpet av ett semester og arbeidet skal utføres individuelt.
## Læringsutbytte
En student som har fullført emnet forventes å ha oppnådd følgende læringsutbytte, definert i kunnskap, ferdigheter og kompetanse:
Kunnskap:
- har kunnskap om temaet bærekraft og bærekraftig utvikling som tverrfaglig tema i skolen.
- har innsikt i relevant faglitteratur knyttet til temaet bærekraft, relatert til oppgavens problemstilling.
- har kunnskap om metodiske og analytiske tilnærminger relevant for oppgavens problemstilling.
Ferdigheter:
- behersker faglig argumentasjon, aktiv kildebruk og sentrale prinsipper for hva som kjennetegner en akademisk oppgave innen geografifaget.
- har ferdigheter i å argumentere, dokumentere, bruke og drøfte teori og empiri.
- har språklige og analytiske ferdigheter relatert til formidling av temaet bærekraftig utvikling, samt geografifaget sett i lys av bærekraftig utvikling.",NA,NA
"ntnu","ntnu",NA,"## Om emnet
## Faglig innhold
Emnet er obligatorisk i den femårige lektorutdanning i geografi og har tydelige koblinger til tidligere aktiviteter i utdanningsløpet. Emnet fokuserer på hvordan sentrale tema innen geografifaget kan formidles på en god måte. I emnet inngår det en innføring i formidlings- og kommunikasjonsteori. En viktig del av emnet er et prosjektarbeid der studentene utarbeider et formidlingsprosjekt knyttet til et geografisk tema. Et sentralt mål er at tema, målgruppe og medium for prosjektet blir sett i sammenheng og utviklet til en god helhet. Prosjektet skal gi studentene mulighet til å tenke kreativt rundt formidling av geografifaglige problemstillinger.
## Læringsutbytte
En student som har fullført emnet forventes å ha oppnådd følgende læringsutbytte, definert i kunnskap, ferdigheter og kompetanse:
Kunnskap:
- har innsikt i problemstillinger om faglig formidling.
- har inngående kjennskap til det geografiske temaet som er valgt i prosjektet.
- har kunnskap om relevante formidlings- og kommunikasjonsteori
Ferdigheter:
- kan jobbe kreativt og analytisk med formidling av geografifaget.
- kan utvikle og presentere et helhetlig og gjennomarbeidet formidlingsopplegg knyttet til et sentralt geografisk tema.
Generell kompetanse:
- kan formidle og kommunisere faglige problemstillinger
- er i stand til å tenke nytt og kreativt innen formidling
## Læringsformer og aktiviteter
Inntil 14 timer undervisning.
## Obligatoriske aktiviteter
- Prosjektskisse og øving, samt deltakelse på 75 % av undervisningen
## Mer om vurdering
Vurderingsform: Refleksjonsnotat og muntlig/praktisk prosjektpresentasjon (bestått/ikke bestått). Det gis en samlet karakter. Gjentak av eksamen kan kun tas i det semesteret det blir gitt undervisning i emnet. Samme eksamensform gis ved gjentak av eksamen.
Obligatorisk aktivitet må være godkjent for å være kvalifisert for å ta eksamen i emnet.
Eksamen (inkludert både refleksjonsnotat og muntlig/praktisk prosjektpresentasjon) kan gjennomføres individuelt eller i gruppe (to studenter).
## Spesielle vilkår
Krever opptak til studieprogram:
Lektorutdanning i geografi for trinn 8 − 13 (MLGEOG)
## Forkunnskapskrav
Fullført 52,5 sp. geografi.
## Fagområder
- Geografi
- Samfunnsvitenskapelige fag",NA,NA
"ntnu","ntnu",NA,"## Om emnet
## Faglig innhold
Masteroppgaven er et selvstendig vitenskapelig forskningsprosjekt hvor du undersøker en teoretisk eller empirisk problemstilling. Arbeidet skal utføres individuelt. Du har stor grad av frihet med hensyn til valg av tema/område for oppgaven, men den skal være relatert til mastergradsstudiet og forskningskompetansen ved instituttet. Vi oppfordrer deg til å knytte oppgaven til forskningsprosjektene til de aktuelle veilederne.
Masteroppgaven kan være både disiplinfaglig og/eller fagdidaktisk rettet. Studenten skal kunne beskrive profesjonsrelevansen ved oppgaven. Beskrivelsen kan inngå som del av innledningskapittel eller sensorene kan spørre om dette under justerende muntlig.
Oppgaven skal inneholde en vitenskapelig framstilling av det valgte temaet; presist formulerte forskningsspørsmål, begrunnede metodevalg og systematisk argumentasjon. Data eller det empiriske grunnlaget for analysen kan være basert på egne observasjons-, intervju-, survey- og/eller andre typer feltdata. Det er også anledning til å benytte eksisterende forskningsdata, offentlig statistikk, tekster, dokumenter med mer som grunnlag for analysen. Oppgaven skal følge vitenskapelige standarder i henhold til referanseføring og forskningsetiske normer.
Masteroppgaven skal gjennomføres under veiledning. Veilederforholdet skal sørge for nødvendig kvalitetssikring ved innsamling og behandling av empiri/data, samt at dette foregår innenfor forskningsetiske retningslinjer. Veilederforholdet reguleres av en egen masteravtale.
Instituttet har utarbeidet en arbeidsplan for oppgavearbeidet som gjør det lettere for studentene å gjennomføre studiet på normert tid.
7. semester: Kandidaten må bestemme seg for tema til masteroppgaven allerede i 7. semester. I løpet av dette semesteret blir studentene gjort kjent med potensielle veiledere og forskningsprosjekter ved instituttet. Som en forberedelse til masteroppgaven skal studenten i løpet av 7.semester skrive en prosjektskisse. Denne skissen danner grunnlaget for tildeling av veileder i 8.semester og endelig utforming av prosjektet skal foregå i samråd med veileder.
8. semester: I løpet av 8. semester skal alle ha blitt tildelt veileder. Alle skal videre ha skrevet en progresjonsplan i samråd med veileder. Planen skal inneholde en redegjørelse av problemstilling og forskningsdesign, samt en plan for innsamling av empiri/data og gjennomføring av oppgaven. Studenten skal også signere en avtale om gjennomføring av masteroppgaven. I 8. semester tas det andre PPU semesteret. Dersom problemstillingen tilsier det, er det viktig at studentene bruker praksisoppholdet til å samle inn data til masteroppgaven.
9. semester: Såfremt GEOG3901 fordeles med 15 studiepoeng i 9. og 10. semester, bør lesing av nødvendig bakgrunnslitteratur og evt. feltarbeid/datainnsamling i hovedsak være gjennomført innen midten av 9. semester (medio oktober). Kandidaten bør være i gang med analysen innen slutten av dette semesteret. Det lages en spesifikk plan for dette i samarbeid med veileder og med utgangspunkt i progresjonsplanen fra 7. semester.
10. semester: Førsteutkast må være levert innen påske i det 10. semesteret.
## Læringsutbytte
En student som har fullført emnet forventes å ha oppnådd følgende læringsutbytte, definert i kunnskap, ferdigheter og kompetanse:
Kunnskap
- har gjennom arbeidet med oppgaven skaffet seg avansert teoretisk kunnskap innenfor et avgrenset forskningstema.
- har solid kunnskap om metodiske og analytiske tilnærminger innenfor det avgrensede forskningstemaet.
- har inngående kunnskap om hvordan man utfører et selvstendig forskningsarbeid.
Ferdigheter
- kan formulere problemstillinger som grunnlag for å gjennomføre et vitenskapelig arbeid.
- kan sette seg inn i teorier og skaffe seg oversikt over etablert kunnskap med relevans for temaet og/eller forskingsområdet.
- kan velge og anvende metoder til å gjøre en omfattende studie.
- kan analysere data fra ulike kilder og anvende disse til å strukturere og formulere faglige resonnement og konklusjoner.
- behersker formidling av vitenskapelig arbeid både skriftlig og muntlig.
- kan gjennomføre et forskningsprosjekt i tråd med etiske normer innen forskning.
Generell kompetanse
- kan gjennomføre et selvstendig forskningsprosjekt.
- kan vurdere og anvende faglig kunnskap i kommunikasjon med spesialister så vel som allmennheten.
## Læringsformer og aktiviteter
Individuell veiledning.
## Mer om vurdering
Vurdering: Masteroppgaven, samt inntil 1 time justerende muntlig eksamen med utgangspunkt i masteroppgaven. I starten av justerende muntlig eksamen skal kandidaten gi en inntil 10 minutters muntlig presentasjon av masteroppgaven hvor det redegjøres for valg av tema, problemstilling, metodiske valg og eventuelle funn. Det er ikke anledning til å bruke PowerPoint eller tilsvarende presentasjonsverktøy. Kandidaten må ha masteroppgaven tilgjengelig og de har lov til å ha med notater under muntlig eksamen.
Det gis en samlet karakter basert på masteroppgaven og justerende muntlig eksamen. Kandidaten skal gis karakter og begrunnelse for karakterfastsettingen umiddelbart etter at justerende muntlig eksamen er gjennomført.
Oppgaven utgjør 30 studiepoeng og bør være på 17 500 - 24 500 ord (ca. 50-70 sider), eksklusive sammendrag, forord, innholdsfortegnelse, figur- og tabell liste, referanser/litteraturliste og appendiks. Se for øvrig utfyllende retningslinjer for karaktersetting av masteroppgave ved Institutt for geografi.
Innleveringsfrist for masteroppgaven er 15. mai. Faller denne datoen på en helg, flyttes innleveringsdatoen til førstkommende virkedag.
Sensurfrist for masteroppgaver er 3 måneder.
Ved kortere utsettelse av innlevering kreves dokumentasjon/legeattest. Ubegrunnet forsinkelse medfører normalt utsatt frist til 15. november i høstsemesteret.
## Spesielle vilkår
Krever opptak til studieprogram:
Lektorutdanning i geografi for trinn 8 − 13 (MLGEOG)
## Forkunnskapskrav
Bestått alle obligatoriske og valgfrie emner i graden.
## Fagområder
- Geografi
- Lærer- og lektorutdanning",NA,NA
"ntnu","ntnu",NA,"## Om emnet
## Faglig innhold
Emnet gir en innføring i hva historie er, og hvordan historie blir produsert og brukt. Ved å utforske historikerens verktøykasse, undersøker vi i emnet hvordan vår forståelse av fortiden blir skapt. I tillegg til å diskutere utviklingen av historie som vitenskapelig disiplin og forskjellige historiografiske debatter, introduserer emnet studentene til hva historikere gjør: hvordan lage historiske spørsmål, hvordan finne historiske kilder og analysere historisk informasjon (både kvalitative og kvantitative kilder), og hvordan skrive historie. Spørsmål knyttet til forskningsetikk og historisk bevissthet (inkludert begrepet historisk empati) er sentralt i emnet. Studentene skal ved enden av kurset være i stand til å kritisk analysere og drøfte forskjellige kildetyper, og i tillegg ha en bred forståelse av hva historie er, inkludert utfordringene og gledene ved historisk forskning.
Emnet er forbeholdt studenter på 5-årig lektormasterprogram i historie for trinn 8-13 og er tilpasset gjennomføring i 5. semester.
## Læringsutbytte
En kandidat som har gjennomført emnet, forventes å ha oppnådd følgende læringsmål:
Kunnskaper
Kandidaten
- kan redegjøre for hvordan kunnskap om fortiden blir til og hvordan kilder må kontekstuelt situeres
- har kildekritisk bevissthet om bruk av ulike kildetyper og informasjonskilder, inkludert digitale kilder
- har oversiktskunnskap om hvordan historie som vitenskap i hovedtrekk har utviklet seg fram til i dag
- kjenner sentrale begreper innen historie-skriving og -forskning av metodisk og teoretisk art
- har kunnskap om konstruksjonsprinsipper i historieforskningen, fra fakta til syntese
- kjenner hovedproblemstillinger når det gjelder bruken av historiefaglig kunnskap
Ferdigheter
Kandidaten
- behersker historiefaglig kildekritikk
- har gode ferdigheter i å skjelne mellom ulike kildetyper
- har evner til å søke etter, finne og vurdere aktuelle kilder til historie
- kan lage enkle historiefaglige fremstillinger basert på et avgrenset kildemateriale
- kan analysere historiske tekster med hensyn til å forstå argumentasjon, kildebruk og oppbygning
- har grunnleggende ferdigheter i å tolke og anvende historisk statistikk, tabeller og grafiske fremstillinger i en historiefaglig sammenheng
- kan presentere og drøfte enklere historie-teoretiske og -metodiske spørsmål ved hjelp av bl.a. et historiefaglig begrepsapparat
## Læringsformer og aktiviteter
Obligatoriske forelesninger og obligatorisk øving i grupper og/eller skriftlige innleveringer. Øvingsopplegget annonseres i NTNUs læringsplattform ved semesterstart.
## Obligatoriske aktiviteter
- Forelesninger og øvinger i grupper og/eller skriftlige innleveringer
## Mer om vurdering
Eksamen er en prosjektoppgave som leveres inn mot slutten av semesteret.
## Spesielle vilkår
Krever opptak til studieprogram:
Lektorutdanning i geografi for trinn 8 − 13 (MLGEOG)
Lektorutdanning i historie for trinn 8 – 13 (MLHIST)
Lektorutdanning i kroppsøving og idrettsfag for trinn 8 − 13 (MLKIDR)
Lektorutdanning i samfunnsfag for trinn 8 – 13 (MLSAM)
Lektorutdanning i språkfag for trinn 8 – 13 (MLSPRÅK)
## Anbefalte forkunnskaper
Ingen
## Forkunnskapskrav
Forusetter opptak til den 5-årige integrerte lektorutdanningen i historie
## Kursmateriell
Pensum og oversikt over emnets innhold (og øvrig relevant informasjon) blir gjort tilgjengelig på NTNUs læringsplattform.
## Studiepoengreduksjon
## Fagområder
- Historie",NA,NA
"ntnu","ntnu",NA,"## Om emnet
## Faglig innhold
Bacheloroppgaven er en skriftlig oppgave der studenten diskuterer et historisk tema, valgt i samråd med veileder. Målet med kurset er å gi studentene ferdigheter i å skrive en akademisk tekst. På slutten av kurset forventes det at studentene skal kunne dokumentere kilder, reflektere historisk, analysere informasjon og utvikle et sammenhengende argument. Oppgaven skal ha et omfang på 10,000-12,000 ord.
## Læringsutbytte
Studenter som har gjennomført emnet, forventes å ha oppnådd følgende læringsutbytte:
Kunnskaper
Kandidaten har
- omfattende kunnskap om temaet for oppgaven
Ferdigheter
Kandidaten forventes å kunne
- formulere en problemstilling og gjennomføre en mindre, historisk undersøkelse basert på litteratur og/eller originalkilder, herunder drøfte og konkludere
- uttrykke seg i sjangeren akademisk fagtekst
- bruke referanser til kilder og litteratur på en riktig måte
- finne frem til relevant litteratur og kilder.
## Læringsformer og aktiviteter
Skriving av oppgave, veiledning, forelesning/seminar. Tema og problemstilling må godkjennes av veileder.
Veiledning og 2 skriftlige innleveringer er obligatoriske.
## Obligatoriske aktiviteter
- Godkjenning av tema og problemstilling
- Veiledning
- 2 skriftlige innleveringer
## Mer om vurdering
Bacheloroppgaven skal normalt skrives på norsk. Bacheloroppgaven skal ha et sammendrag på både norsk og engelsk.
Godkjente obligatoriske aktiviteter er gyldige både dette og påfølgende semester. Mer informasjon om de obligatoriske aktivitetene publiseres på emnesidene på Blackboard ved emnets oppstart i januar.
## Spesielle vilkår
Krever opptak til studieprogram:
Lektorutdanning i historie for trinn 8 – 13 (MLHIST)
## Forkunnskapskrav
Forusetter opptak til den 5-årige integrerte lektorutdanningen i historie samt avlagt minimum HIST1300, HIST1500 og HIST1505/HIST1515 (eller tilsvarende).
## Kursmateriell
Pensum og oversikt over emnets innhold (og øvrig relevant informasjon) blir gjort tilgjengelig på Blackboard.
## Studiepoengreduksjon
## Fagområder
- Historie",NA,NA
