"course_code_norm","year","hv","url"
"MGEN5100-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/MGEN5100/2025/H%C3%98ST"
"MGEN4200-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/MGEN4200/2025/H%C3%98ST"
"MGEN4100-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/MGEN4100/2025/H%C3%98ST"
"MGVM4100-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/MGVM4100/2025/H%C3%98ST"
"MAMUS5900-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/MAMUS5900/2025/H%C3%98ST"
"MAMUS4100-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/MAMUS4100/2025/H%C3%98ST"
"MAMUS4070-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/MAMUS4070/2025/H%C3%98ST"
"M5GEN3100-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/M5GEN3100/2025/H%C3%98ST"
"M5GEN2100-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/M5GEN2100/2025/H%C3%98ST"
"M5GEN1300-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/M5GEN1300/2025/H%C3%98ST"
"M5GEN1200-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/M5GEN1200/2025/H%C3%98ST"
"M5GEN1100-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/M5GEN1100/2025/H%C3%98ST"
"M1GMT3100-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/M1GMT3100/2025/H%C3%98ST"
"M1GEN3100-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/M1GEN3100/2025/H%C3%98ST"
"M1GEN2200-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/M1GEN2200/2025/H%C3%98ST"
"M1GEN2100-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/M1GEN2100/2025/H%C3%98ST"
"M5GPE5100-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/M5GPE5100/2025/H%C3%98ST"
"M5GPE4100-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/M5GPE4100/2025/H%C3%98ST"
"M5GP4200-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/M5GP4200/2025/H%C3%98ST"
"M5GP4100-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/M5GP4100/2025/H%C3%98ST"
"M5GP3000-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/M5GP3000/2025/H%C3%98ST"
"MAMUS4200-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/MAMUS4200/2025/H%C3%98ST"
"MGNT5100-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/MGNT5100/2025/H%C3%98ST"
"MGNT4200-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/MGNT4200/2025/H%C3%98ST"
"MGNT4100-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/MGNT4100/2025/H%C3%98ST"
"MGNO5100-1",2025,"H","https://student.oslomet.no/studier/-/studieinfo/emne/MGNO5100/2025/H%C3%98ST"
