"course_code_norm","year","hv","url"
"ERN404-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ern404.html"
"ERN405-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ern405.html"
"ERN502-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ern502.html"
"ERN503-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ern503.html"
"SV-417-1",2026,"V","https://www.uia.no/studier/emner/2026/var/sv-417.html"
"SV-418-1",2026,"V","https://www.uia.no/studier/emner/2026/var/sv-418.html"
"SV-419-1",2026,"V","https://www.uia.no/studier/emner/2026/var/sv-419.html"
"SV-506-1",2026,"V","https://www.uia.no/studier/emner/2026/var/sv-506.html"
"SV-507-1",2026,"V","https://www.uia.no/studier/emner/2026/var/sv-507.html"
"SV-505-1",2026,"V","https://www.uia.no/studier/emner/2026/var/sv-505.html"
"EN-502-1",2026,"V","https://www.uia.no/studier/emner/2026/var/en-502.html"
"PED428-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ped428.html"
"PED429-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ped429.html"
"PED431-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ped431.html"
"IDR418-1",2026,"V","https://www.uia.no/studier/emner/2026/var/idr418.html"
"PRA1-401-1",2026,"V","https://www.uia.no/studier/emner/2026/var/pra1-401.html"
"ERN500-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ern500.html"
"ERN501-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ern501.html"
"FR-400-1",2026,"V","https://www.uia.no/studier/emner/2026/var/fr-400.html"
"SV-412-1",2026,"V","https://www.uia.no/studier/emner/2026/var/sv-412.html"
"SV-511-1",2026,"V","https://www.uia.no/studier/emner/2026/var/sv-511.html"
"IDR421-1",2026,"V","https://www.uia.no/studier/emner/2026/var/idr421.html"
"IDR510-1",2026,"V","https://www.uia.no/studier/emner/2026/var/idr510.html"
"IDR511-1",2026,"V","https://www.uia.no/studier/emner/2026/var/idr511.html"
"PRA2-401-1",2026,"V","https://www.uia.no/studier/emner/2026/var/pra2-401.html"
"NO-413-1",2026,"V","https://www.uia.no/studier/emner/2026/var/no-413.html"
"NO-414-1",2026,"V","https://www.uia.no/studier/emner/2026/var/no-414.html"
"NO-415-1",2026,"V","https://www.uia.no/studier/emner/2026/var/no-415.html"
"IDR422-1",2026,"V","https://www.uia.no/studier/emner/2026/var/idr422.html"
"MA-423-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ma-423.html"
"REL421-1",2026,"V","https://www.uia.no/studier/emner/2026/var/rel421.html"
