"institution_short","course_code_norm","year","hv","url","status","ok","bytes","sha1","course_name_no","fulltext"
"uia","ERN404-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ern404.html",404,FALSE,NA,NA,NA,NA
"uia","ERN405-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ern405.html",200,TRUE,275,"5b28d5e2a699bd40976fb2791fbfbd68f52a8881",NA,NA
"uia","ERN502-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ern502.html",404,FALSE,NA,NA,NA,NA
"uia","ERN503-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ern503.html",200,TRUE,275,"0a541f5a5978a8c5b65fb13a6b5a5a76194fa1bf",NA,NA
"uia","SV-417-1",2026,"V","https://www.uia.no/studier/emner/2026/var/sv-417.html",404,FALSE,NA,NA,NA,NA
"uia","SV-418-1",2026,"V","https://www.uia.no/studier/emner/2026/var/sv-418.html",404,FALSE,NA,NA,NA,NA
"uia","SV-419-1",2026,"V","https://www.uia.no/studier/emner/2026/var/sv-419.html",200,TRUE,275,"b9f3285b6a9ae3c300d552205a809fc7399fdd29",NA,NA
"uia","SV-506-1",2026,"V","https://www.uia.no/studier/emner/2026/var/sv-506.html",404,FALSE,NA,NA,NA,NA
"uia","SV-507-1",2026,"V","https://www.uia.no/studier/emner/2026/var/sv-507.html",200,TRUE,275,"fae5008dd5a5545a7b8c2acfdf58647fb7b0ab06",NA,NA
"uia","SV-505-1",2026,"V","https://www.uia.no/studier/emner/2026/var/sv-505.html",404,FALSE,NA,NA,NA,NA
"uia","EN-502-1",2026,"V","https://www.uia.no/studier/emner/2026/var/en-502.html",404,FALSE,NA,NA,NA,NA
"uia","PED428-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ped428.html",200,TRUE,275,"7e565b560f2b5d869fff981945a09871592ac455",NA,NA
"uia","PED429-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ped429.html",404,FALSE,NA,NA,NA,NA
"uia","PED431-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ped431.html",200,TRUE,275,"3302394c2db3e7e9d6c0aa8ca8d4e0b489a36e37",NA,NA
"uia","IDR418-1",2026,"V","https://www.uia.no/studier/emner/2026/var/idr418.html",200,TRUE,275,"1a972eb8745d3bbdb728237f98fb90cd05459612",NA,NA
"uia","PRA1-401-1",2026,"V","https://www.uia.no/studier/emner/2026/var/pra1-401.html",404,FALSE,NA,NA,NA,NA
"uia","ERN500-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ern500.html",200,TRUE,275,"a95959ea7b58be0f52470b79acc4d2b692ddf6ef",NA,NA
"uia","ERN501-1",2026,"V","https://www.uia.no/studier/emner/2026/var/ern501.html",404,FALSE,NA,NA,NA,NA
"uia","FR-400-1",2026,"V","https://www.uia.no/studier/emner/2026/var/fr-400.html",200,TRUE,275,"46ff91d236f9dd4d7fa5739ec17e60dfc7212b60",NA,NA
"uia","SV-412-1",2026,"V","https://www.uia.no/studier/emner/2026/var/sv-412.html",200,TRUE,275,"9fac64546f606a79f59a5382a768c02615334d78",NA,NA
"uia","SV-511-1",2026,"V","https://www.uia.no/studier/emner/2026/var/sv-511.html",404,FALSE,NA,NA,NA,NA
