"course_code_norm","year","hv","url"
"SPANDI301-0",NA,NA,"https://www4.uib.no/studier/emner/spandi301"
"SPLA313L-0",NA,NA,"https://www4.uib.no/studier/emner/spla313l"
"SPANDI201-0",NA,NA,"https://www4.uib.no/studier/emner/spandi201"
"TYS307L-0",NA,NA,"https://www4.uib.no/studier/emner/tys307l"
"TYS308L-0",NA,NA,"https://www4.uib.no/studier/emner/tys308l"
"TYS311L-0",NA,NA,"https://www4.uib.no/studier/emner/tys311l"
"TYSDI111-0",NA,NA,"https://www4.uib.no/studier/emner/tysdi111"
"TYSDI301-0",NA,NA,"https://www4.uib.no/studier/emner/tysdi301"
"TYS251L-0",NA,NA,"https://www4.uib.no/studier/emner/tys251l"
"TYSDI101-0",NA,NA,"https://www4.uib.no/studier/emner/tysdi101"
"TYSDI201-0",NA,NA,"https://www4.uib.no/studier/emner/tysdi201"
"ENG120L-0",NA,NA,"https://www4.uib.no/studier/emner/eng120l"
"ENG122L-0",NA,NA,"https://www4.uib.no/studier/emner/eng122l"
"ENGDI101-0",NA,NA,"https://www4.uib.no/studier/emner/engdi101"
"RELVI250L-0",NA,NA,"https://www4.uib.no/studier/emner/relvi250l"
"ENGDI201-0",NA,NA,"https://www4.uib.no/studier/emner/engdi201"
"ENG107-0",NA,NA,"https://www4.uib.no/studier/emner/eng107"
"ENG221L-0",NA,NA,"https://www4.uib.no/studier/emner/eng221l"
"ENG339L-0",NA,NA,"https://www4.uib.no/studier/emner/eng339l"
"ENGDI111-0",NA,NA,"https://www4.uib.no/studier/emner/engdi111"
"ENGDI301-0",NA,NA,"https://www4.uib.no/studier/emner/engdi301"
"FRAN255L-0",NA,NA,"https://www4.uib.no/studier/emner/fran255l"
"FRANDI201-0",NA,NA,"https://www4.uib.no/studier/emner/frandi201"
"FRANDI101-0",NA,NA,"https://www4.uib.no/studier/emner/frandi101"
"FRANDI301-0",NA,NA,"https://www4.uib.no/studier/emner/frandi301"
"FRANDI111-0",NA,NA,"https://www4.uib.no/studier/emner/frandi111"
"FRAN313L-0",NA,NA,"https://www4.uib.no/studier/emner/fran313l"
