"institution","course_code","url","fulltekst_renset","arbeidskrav","status_code"
"uib","uib",NA,"##  Emnebeskrivelse
## Mål og innhald
Det overordna målet i emnet er at studentane skal utvikle seg som profesjonsutøvarar knytt til undervisning av biologi. Emnet har to gjennomgåande hovudspørsmål: korleis og kvifor.
I emnet blir det lagt stor vekt på varierte arbeidsmåtar i biologi, inkludert andre læringsarenaer enn klasserommet. Emnet har fokus på ulike utfordringar knytt til enkelte biologiske tema, som vanlege og kjente misforståingar, kontroversielle tema, og etiske utfordringar.
Emnet er gjennomgåande basert på forsking, henta frå biologi- og naturfagdidaktikk i tillegg til andre relevante felt. Læring og undervisning blir satt inn i et biologisk og evolusjonært perspektiv, og emnet byggjer på eit evolusjonspsykologisk læringssyn.
Emnet er lagt i same semester som ein lang praksisperiode der studentane får undervise i biologi, og der dei kan teste ut kompetansen i praksis og bruke erfaringane i siste del av emnet.
## Læringsutbyte
Studenten skal ved avslutta emne ha følgjande læringsutbyte definert i kunnskapar, ferdigheiter og generell kompetanse:
Kunnskapar
Studenten
- er godt kjent med biologididaktikk som forskingsfelt og har inngåande kunnskap om eit utval relevant forsking
- har inngåande kunnskap og erfaring med varierte arbeidsmåtar i biologi og korleis og kvifor desse kan bidra til læring
- har kunnskap om faktorar som kan påverke elevanes motivasjon og interesse for faget
- har kunnskap om utfordringar knytt til ulike biologiske tema som til dømes evolusjon
- har kunnskap om korleis læring kan setjast inn i eit biologisk og evolusjonært perspektiv
Ferdigheiter
Studenten
- kan definere tydlege læringsmål for elevane, velje arbeidsmåtar som er veleigna for at elevane skal nå læringsmåla og kunne evaluere i kva grad måla vart nådd
- kan leggje til rette for gode læringsprosessar i biologi basert på forsking frå ulike felt, inkludert biologididaktikk og evolusjonspsykologi
- kan nytte varierte arbeidsmåtar, inkludert alternative læringsarenaer, digitale verktøy og utforskande læring, og kunne grunngje dei
- kan nytte og kritisk vurdere forskingsbaserte kjelder og metodar for å få kunnskap om elevar, undervisning og læring i faget
- kan analysere læreplanar i biologi og velje relevante arbeidsmåtar og vurderingsformar i høve til kompetansemåla i læreplanen
- kan reflektere over etiske problemstillingar og korleis ein kan leggje opp undervisning i etisk utfordrande eller kontroversielle tema i biologi
- kan motivere elevar og leggje til rette for interesse for biologi
Generell kompetanse
Studenten
- kan nytte forsking frå biologi, biologididaktikk og andre relevante kjelder til å vidareutvikle seg som profesjonsutøvar
## Fulltid/deltid
## Studiepoeng, omfang
## Studienivå (studiesyklus)
## Undervisningssemester
PEDA131, REALDI200 og LANGPRAKSIS1
Emnet skal normalt takast parallelt med LANGPRAKSIS2
- Deltaking på 80 % av undervisinga.
- Innlevering av inntil 5 skriftlege oppgåver, samt fagfellevurderingar og framlegg i øktene, i gruppe og individuelt.
Gyldig i fire semester, inneverande og tre påfølgande.
I emnet nyttar ein følgjande vurderingsformer:
- munnleg eksamen",NA,NA
"uib","uib",NA,"##  Emnebeskrivelse
## Mål og innhald
## Læringsutbyte
Studenten skal ved avslutta emne ha følgjande læringsutbyte definert i kunnskapar, ferdigheiter og generell kompetanse:
Kunnskapar
Studenten
- Er kjent med biologi/naturfagfagdidaktikk som forskingsfelt og eit utval av fagdidaktisk forsking
- Skal ha kunnskap om kva som kan påverke elevanes motivasjon og interesse for faget
- Gjere greie for kva kjenneteikn biologi har som skulefag og vitskapsfag, og korleis biologi har utvikla seg som fag
- Kjenner til ulike arbeidsmåtar i biologi og naturfag og korleis desse kan bidra til læring
- Har grunnleggande kunnskapar om korleis oppbygginga til hjernen og nevrofysiologiske prosessar påverkar læring, og korleis læring kan settast inn i eit biologisk og evolusjonært perspektiv
Ferdigheiter
Studenten kan
- analysere læreplanar i biologi og naturfag og velje relevante arbeidsmåtar og vurderingsformar i høve til kompetansemåla i læreplanen
- reflektere over etiske problemstillingar og korleis ein kan leggje opp undervisning i etisk utfordrande eller kontroversielle tema i biologi
- leggje til rette for varierte og utforskande arbeidsmåtar og nytte digitale verkty som bidreg til læring og at elevane får røynsle med eit breitt spekter av biologifaget.
- nytte forskingsbaserte metodar for å få kunnskap om elever, undervisning og læring i faget
- utvikle skriftleg og munnleg kommunikasjon hos elevar som verkemiddel for læring og formidling av kompetanse
Generell kompetanse
Studenten kan
- motivere elevar og skape interesse for biologi og naturfag
- nytte kunnskapar og erfaringar frå praksis til å grunngje val av arbeidsmåtar i biologi
- definere tydlege læringsmål for elevane , velje arbeidsmåtar som er veleigna for at elevane skal nå læringsmåla og i etterkant kunne evaluere i kva grad desse ble nådd
## Studiepoeng, omfang
## Studienivå (studiesyklus)
## Undervisningssemester
Haust og vår. Emnet går over to semester, 10 sp haust og 5 sp vår. Oppstart kun om hausten.
Emnet blir undervist siste gang høsten 2026.
Emnet har eit avgrensa tal på plassar og inngår i undervisningsopptaket ved NT-fakultetet. Fristen for å melde seg til undervisning i emnet er onsdag i veke 33. Du får svar på om du har fått plass på emnet på Studentweb seinast måndag i veka etter fristen.",NA,NA
"uib","uib",NA,"##  Emnebeskrivelse
## Mål og innhald
Emnet utforskar språksystemet og tek for seg ein eller fleire sentrale språkkomponentar i engelsk, som t.d. leksikon, semantikk, fonologi, morfologi eller syntaks.
Innhaldet i emnet kan variere frå år til år.
Emnet kombinerer teori og praktiske øvingar for å gi studentane ei brei forståing av innhaldet.
## Læringsutbyte
Ved avslutta emne har studentane følgjande læringsutbyte, definert i kunnskapar, ferdigheiter og generell kompetanse. Desse vert oppnådd ved sjølvstendig arbeid med pensum, førebuing til forelesingar og seminar, og gjennomføring av obligatoriske aktivitetar som er spesifiserte under «Obligatorisk undervisningsaktivitet»:
Kunnskapar
Studentane
- har inngåande kunnskap om aspekt ved det engelske språksystemet
- har kjennskap til omgrep og terminologi som vert nytta i studiet av det engelske språksystemet
Ferdigheiter
Studentane kan
- bruke språkdata til å diskutere, forklare og kontekstualisere språkstrukturar og -fenomen
- skildre og analysere data som er relevant for språksystem
- diskutere tema innan språksystem med eit presist omgrepsapparat
- -dentifisere og skildre ulike omgrep og metodar som er relevante for språksystem, i arbeid med språkdata
- velje ut relevant informasjon frå ulike kjelder
- knyte avanserte lingvistiske omgrep og teoriar til kjende omgrep og teoriar
Generell kompetanse
Studentane kan
- tenke og argumentere analytisk, kritisk og sjølvstendig
- bruke analytiske omgrep, teoriar og metodar i vitskaplege språkstudium
- handtere og organisere ny informasjon og knyte den til kjend kunnskap
- arbeide sjølvstendig, planleggje eige arbeid, nå mål og halde tidsfristar
- uttrykkje seg på korrekt akademisk engelsk, både skriftleg og munnleg
- utvide deira kunnskap gjennom vidare studiar av engelsk lingvistikk
## Studiepoeng, omfang
## Studienivå (studiesyklus)
## Undervisningssemester
## Undervisningsstad
Ein vil sterkt rå til at studentane i tillegg til generell studiekompetanse har studiespesialiserande programfag i engelsk frå vidaregåande skole med gode karakterar. For studentar med annan bakgrunn er det tilrådd med eit engelsknivå tilsvarande C1 i samsvar med the Common European Framework of Reference for Languages
Ein vil sterkt rå til at studentane har teke innføringssemesteret og ENG110 (Lydar og strukturar) eller tilsvarande kurs.
Forelesingar: opp til 24 timar
Det er venta at studentane er til stades og tek aktivt del i undervisninga. Dette ligg også til grunn for førebuing til eksamen.
Det er obligatorisk frammøte på undervisninga. Studentane må vere til stades på minst 75% av forelesingane for å kunne ta eksamen.
For å kunne ta eksamen må studentane òg ha gjennomført og bestått følgjande obligatoriske aktivitetar:
- ein kort presentasjon eller ei skriftleg oppgåve, maks 500 ord (typen aktivitet kan variere frå år til år)
- ei fleirvalsoppgåve
Detaljert informasjon om oppgåvene, presentasjonane og prosedyrar/fristar for innlevering vert kunngjort på Mitt UiB. Alle obligatoriske arbeidskrav må gjennomførast i same semester.
Godkjenninga av obligatoriske arbeidskrav er gyldig i undervisningssemesteret og dei to påfølgjande semestera.
Eksamen er ein to timars skoleeksamen i Inspera.
Studentar som ikkje har oppfylt dei obligatoriske krava (sjå «Obligatorisk undervisningsaktivitet») misser retten til å ta eksamen.",NA,NA
"uib","uib",NA,"##  Emnebeskrivelse
## Mål og innhald
Emnet gir ei innføring i og kunnskap om ulike emne innafor amerikansk litteratur og kultur frå eit historisk, sosialt, og estetisk perspektiv. Eit sentralt element i ENG122L er analyse av tekstar i hovudsjangrane prosa, poesi og drama. Desse vert undervist med auge på å utvikle studentane sine ferdigheiter i å identifisere og diskutere tematiske forhold og formelle og tematiske litterære og estetiske trekk, samstundes som ein tek opp ulike tilnærmingar til lesing og tolking.
Studiet har som mål å gjennom litteraturen gi auka kunnskap om mangfaldet i amerikansk kultur i eit historisk perspektiv, og forståing av grunnleggjande premissar for utviklinga av litteraturen slik den speglar samfunnet. Studiet skal òg utvikle evna til å uttrykkje seg skriftleg og munnleg på engelsk.
Gjennom analyser av ei rekkje litterære verk vil studentane få ei forståing av dei viktigaste epokane og utviklingstrekka innanfor amerikansk litteratur og kultur, ofte i forhold til sentrale sosio-kulturelle og politiske samanhengar. Kurset har og som mål og utvikla studentens kritiske, analytiske, språklege og ferdigheiter, i tillegg til ferdigheiter innan problemløysing. Med hjelp av skriftlege og munnlege presentasjonar styrkar òg studenten sine munnlege og skriftlege ferdigheiter i akademisk engelsk.
## Læringsutbyte
Ved fullført emne har studenten følgjande læringsutbyte definert i kunnskapar, ferdigheiter og generell kompetanse:
Kunnskapar
Ved fullført emne har studenten
- ei grunnleggjande forståing av amerikansk litteratur og kultur i ein historisk kontekst
- utvikla evna til sjølvstendig kritisk lesing av primærtekstar, grunna i analyser av litterære og ikkje-litterære tekstar
- ei forståing av tilhøvet mellom primærtekstane og dei større historiske, sosiale og politiske rammene dei høyrer til og er i dialog med
- ei forståing av det som karakteriserer dei ulike litterære sjangrane studiet omfattar, så som roman, novelle, dikt, skodespel og ikkje-skjønnlitterære tekstar
Ferdigheiter
Ved fullført emne kan studenten
- uttrykkja kunnskapen sin om amerikansk litteratur og kultur på skriftleg og munnleg akademisk engelsk, på ein organisert og høveleg måte
- identifisere og analysere hovudtrekka i litterære verk, drama-sjangeren, og narrative teknikkar
- skildre hovudperiodane og -bevegelsane i amerikansk litterær historie og samanhengane mellom desse
- forstå tilhøvet mellom historisk-kulturelle kontekstar og tekstar
- analysera tekstar i høve til sjanger og sentrale litterære termar
- lese på tvers av ulike periodar og tema
- vise forståing for at litterære tekstar kan verte analyserte med ulike teoretiske/metodiske tilnærmingar
- bruke akademiske omgrep og metodar på ein kritisk måte
Generell kompetanse
Ved fullført emne kan studenten
- vise kjennskap til grunnleggjande analytiske reiskap og teknikkar
- respondere sjølvstendig og kreativt på ulike litterære verk på høveleg akademisk skriftleg og munnleg engelsk
- skildre, analysere og tolke ulike litterære tekstar
- diskutere og evaluere betydinga historiske og kulturelle kontekstar har for tolkinga av språk og tekst
- tenke og argumentere analytisk, kritisk og sjølvstendig om kursets innhald
## Studiepoeng, omfang
## Studienivå (studiesyklus)
## Undervisningssemester
## Undervisningsstad
Forelesing og seminar: opp til 72 timar.
Det er venta at studentane er til stades og tek aktivt del i undervisninga. Dette ligg også til grunn for førebuing til eksamen.
Forelesing: totalt 44-48 timar
Grupper/seminar: totalt 20-24 timar
Det er obligatorisk frammøte på seminara. Studentane må vere til stades på minst 80% av seminarundervisninga.
For å kunne ta eksamen må studentane gjere ferdig og bestå to ulike obligatoriske arbeidskrav i tilknyting til seminara. Desse vil vere ein kombinasjon av ein individuell munnleg presentasjon, og/eller ein munnleg presentasjon i grupper på to eller tre studentar, og/eller respons på slik munnleg presentasjon, og/eller eit kort skriftleg arbeid i seminaret med «peer review», og/eller innleveringar av korte skriftlege arbeid på 300 ord, og/eller leiing av diskusjonar i seminara. Den eksakte kombinasjonen og fristar som gjeld vert annonsert på Mitt UiB i byrjinga av semesteret. Alle obligatoriske arbeidskrav må gjennomførast i same semester.
Godkjenninga av obligatoriske arbeidskrav er gyldig i undervisningssemesteret og to semester etter dette.
Pensum omfattar litterære periodar, historiske hendingar og representative tekstar innan skjønnlitteratur og sakprosa frå 1600-talet.
Litteraturlista vil vere klar innan 01.07. for haustsemesteret.",NA,NA
"uib","uib",NA,"##  Emnebeskrivelse
## Mål og innhald
Dette oversiktskurset gir ein introduksjon til britisk litteratur og kultur frå eit historisk perspektiv. Dei anviste verka blir tolka i forhold til sentrale sosio-kulturelle og politiske kontekstar, og kurset introduserer òg tilnærmingar til tekstlege analyser i hovudsjangrane prosa, poesi og drama. Evna til å sjå etter formelle og tematiske trekk blir oppøvd og utvikla og gjennom analyse av ei rekke litterære verk vil studenten få ei forståing av dei viktigaste periodane og utviklingar innanfor britisk litteratur og kultur.
Det er venta at studentane utviklar dei kritiske, analytiske, språklege og problemløysande ferdigheitene sine, inkludert evnene til å sjølvstendig og kritisk kunne evaluere tekstane på pensum. Gjennom skriftlege aktivitetar og deltaking i seminara vil studentane òg forbetre sine skriftlege og munnlege ferdigheiter i akademisk engelsk.
## Læringsutbyte
Ved fullført emne har studenten følgjande læringsutbyte definert i kunnskapar, ferdigheiter og generell kompetanse:
Kunnskapar
Ved fullført emne har studenten
- ei grunnleggjande forståing av utviklinga av britisk litteratur og kultur i ein historisk kontekst
- forståing og evne til å bruke eit kritisk vokabular retta mot disiplinen, og kan vise både munnleg og skriftleg forståing av dei grunnleggjande konseptuelle og teoretiske metodane ein bruker når ein analyserer tekstar
- ei forståing for skilnadene mellom dei forskjellege formane for litterære verk, som drama, poesi og prosa, og dei ulike sjangrane innanfor desse formene slik dei blir dekka i kurset
- ei forståing av forholdet mellom litterære tekstar og dei vidare sosiale, politiske og historiske rammene dei høyrer til og responderer på
Ferdigheiter
Ved fullført emne kan studenten
- uttrykkja kunnskapen over på eit tydeleg uttrykt og korrekt skriftleg og munnleg akademisk engelsk i høveleg strukturerte eksamensessay
- identifisere og skildre hovudtrekka i analyser av poesi, dramatiske sjangrar, og narrative teknikkar
- skildre hovudperiodane og -bevegelsane i britisk litteratur historie
- forstå utviklinga av litterære genrar over tid i ein britisk samanheng
- forstå forholdet mellom tekster og historiske-kulturelle kontekstar
- lese på tvers av litterære periodar og tema
- vise forståing for korleis litterære tekstar kan analyseras med hjelp av ulike tilnærmingar og metodiske rammeverk
- bruke akademiske omgrep og metodar på ein kritisk måte
Generell kompetanse
Ved fullført emne kan studenten
- vise kjennskap til grunnleggjande analytiske reiskap og teknikkar som høyrer til disiplinen
- tenke og argumentere analytisk, kritisk og sjølvstendig om tema i kurset
- respondere sjølvstendig og kreativt på ulike litterære verk på høveleg akademisk skriftleg og munnleg engelsk
- skildre, analysere og tolke særlege tema innan britisk litteratur
- diskutere og evaluere betydinga historiske og kulturelle kontekstar har for tolkinga av språk og tekst
## Studiepoeng, omfang
## Studienivå (studiesyklus)
## Undervisningssemester
## Undervisningsstad
Emnet er ope for alle med studierett ved UiB.
For exchange students: Applicants have to document English language proficiency to access the course. Students should hold a level of C1 in the Common European Framework of Reference for Language (CEFR). For valid tests, please see uib.no/exchange.
Forelesing og seminar: opp til 72 timar.
Det er venta at studentane er til stades og tek aktivt del i undervisninga. Dette ligg også til grunn for førebuing til eksamen.
Det er obligatorisk frammøte på seminara. Studentane må vere til stades på minst 80% av seminarundervisninga for å kunne ta eksamen.
For å kunne ta eksamen må studentane òg gjere ferdig og bestå dei følgjande obligatoriske arbeidskrava:
Kvar student må levere inn seks korte skriftlege arbeid. Desse arbeida er meint å fokusere og strukturere studentane sine førebuingar. Alle obligatorisk arbeidskrav må gjennomførast i same semester.
Godkjenninga av oppmøte og obligatoriske arbeidskrav er gyldig i to semester etter undervisningssemesteret.
Eksamen i emnet er ein sju dagars heimeeksamen over oppgitt tema. Heimeeksamen skal vere på mellom 2500 og 2800 ord, og skal leverast elektronisk.
Studentar som ikkje har oppfylt dei obligatoriske arbeidskrava (sjå over), misser retten til å ta eksamen i emnet.
Vår.
Det blir arrangert eksamen i ENG125 i undervisningssemseteret, på slutten av vårsemesteret.
Studentar med gyldig grunn for fråvær kan ta eksamen i byrjinga av haustsemesteret.
Pensum omfattar et utval representative tekstar, forfattarar og bevegelsar i britisk litteratur (poesi, prosa og drama). Tekstane vert sett i lys grunnleggjande litteratur teori og sosiale, politiske og kulturelle perspektiv, som blir dekt av relevant pensum.
Litteraturlista vil vere klar innan 1. desember for vårsemesteret.",NA,NA
"uib","uib",NA,"##  Emnebeskrivelse
## Mål og innhald
## Læringsutbyte
Ved fullført emne:
Kunnskapar
Studenten
- har god innsikt i teoretiske og metodiske innfallsvinklar for det feltet som er blitt gjennomgått og kjennskap til nyare forsking innanfor dette feltet
Ferdigheiter
Studenten
- er i stand til å anvende sine kunnskaper og ferdigheter i undervisning, formidling og/eller informasjon
- har vidareutvikla evna til å uttrykke akademiske idéar på skriftlig og munnleg engelsk
Generell kompetanse
Studenten
- er i stand til å halde fram med eiga kompetanseutvikling og spesialisering på ein sjølvstendig måte
## Studiepoeng, omfang
## Studienivå (studiesyklus)
## Undervisningssemester
## Undervisningsstad
Seminar: opp til 16 timar.
Det er venta at studentane er til stades og tek aktivt del i undervisninga. Dette ligg også til grunn for førebuing til eksamen.
Om det melder seg færre enn fem studentar til eit emne, kan undervisningstilbodet bli tilpassa studentalet. Studentane vil i så fall bli informerte om det alternative undervisningsopplegget ved semesterstart, og før semesterregistreringsfristen 1. februar/1. september.
Pensum i emnet er sett saman av opptil 750 sider lingvistisk faglitteratur. I tillegg til pensum lyt studentane gjere bruk av tilrådd hjelpelitteratur og handbøker.
Litteraturlista vil vere klar innan 01.07. for haustsemesteret.",NA,NA
"uib","uib",NA,"##  Emnebeskrivelse
## Mål og innhald
Emnet har som mål å gje ei innføring i engelsk fagdidaktikk og har fire hovudområde:
- engelskfagets legitimering og eigenart
- sentrale styringsdokument for skolefaget
- språklæring
- omgrepet kommunikativ kompetanse
## Læringsutbyte
Studenten skal ved avslutta emne ha følgjande læringsutbyte definert i kunnskapar, dugleikar og generell kompetanse:
Kunnskapar:
Studenten
- har kunnskap om engelskfagets utvikling
- har innblikk i styringsdokument for skolefaget
- har kjennskap til sentrale språklæringsteoriar og -tilnærmingar
- har kjennskap til teoriar knytt til kommunikativ kompetanse
Dugleikar:
Studenten
- kan analysere styringsdokument for skolefaget
- kan reflektere over og drøfte skolepraksis i lys av relevant teori
- kan uttrykkje seg munnleg og skriftleg på engelsk knytt til emnet
Generell kompetanse:
Studenten
- kan reflektere over eiga læring
- kan reflektere over og drøfte problemstillingar knytte til engelsk som skolefag
- kan beskrive elevar si læring
## Fulltid/deltid
## Studiepoeng, omfang
## Studienivå (studiesyklus)
## Undervisningssemester
## Undervisningsstad
Minimum 15 stp i engelsk
PEDA 120
KOPRA101
For studentar som tek engelsk som fag II: KOPRA102
12 timar førelesningar.
Seminar: 2 timar (obligatorisk oppmøte).
Seminar: 2 dagar for- og etterarbeid knytt til emnet KOPRA102 for studentar som tek engelsk som fag I, og 2 dagar for- og etterarbeid knytt til praksisemnet KOPRA103 for studentar som tek engelsk som fag II.
Emnet har tre obligatoriske krav som må vere møtt for å kunne gå opp til eksamen:
1) Studentane må ha delteke på eit seminar om lesing og skriving av akademiske tekstar innanfor fagområdet.
2) 2 dagar for- og etterarbeid knytt til praksisemnet KOPRA102 for studentar som tek engelsk som fag I.
2) 2 dagar for- og etterarbeid knytt til praksisemnet KOPRA103 for studentar som tek engelsk som fag II.
3) Det er 80% oppmøteplikt på forelesingane.",NA,NA
"uib","uib",NA,"##  Emnebeskrivelse
## Mål og innhald
Mål:
Emnet har som mål å gi ei vidare innføring i feltet engelsk fagdidaktikk og bidra til ei funksjonell integrering av fagdidaktisk teori og praksis med vekt på kritisk refleksjon rundt engelsk som undervisningsfag, didaktiske problemstillingar og undervisningspraksis i faget.
Innhald:
Studiet tar opp og drøftar fagdidaktiske problemstillingar innanfor tema som språk, tekst, kultur, kompetanse og danning, tilrettelegging for læring.
## Læringsutbyte
Studenten skal ved avslutta emne ha følgjande læringsutbyte definert i kunnskapar, ferdigheiter og generell kompetanse:
Kunnskap:
Studenten har
- innsikt i språk, tekst og sjanger og kan sjå desse i eit kulturperspektiv
- innsikt i engelsk som danningsfag og ferdigheitsfag
Ferdigheiter:
Studenten kan
- lage undervisningsopplegg der arbeidsformer og innhald er knytt til grunnleggjande ferdigheiter og reflekterer innsikt i læringsprosessar i engelskfaget
- gjere greie for kjenneteikn på elevar sin kompetanse i engelskfaget, vurdere og dokumentere elevar si læring
- gi læringsfremjande tilbakemeldingar og bidra til at elevar kan vurdere og reflektere over eiga læring og faglege utvikling
- bruke fagdidaktisk teori til å vurdere og reflektere kritisk rundt eiga og andre si undervisning
Generell kompetanse:
- Studenten kan uttrykkje seg munnleg og skriftled på engelsk innan fagfeltet
## Studiepoeng, omfang
## Studienivå (studiesyklus)
Bachelor.
## Undervisningssemester
Haust
7. semester i lektorutdanningsprogrammet for studentar som tek faget som fag II.
## Undervisningsstad
Forelesing: Totalt 12 timar fordelt på seks veker.
Seminar: 2
Om det melder seg færre enn fem studentar til eit emne, kan undervisningstilbodet bli tilpassa studentalet. Studentane vil i så fall bli informerte om det alternative undervisningsopplegget ved semesterstart, og før semesterregistreringsfristen 1. februar/1. september.
For å gå opp til eksamen må studentane ha levert ein skriftleg tekst som presenterer eit undervisningsopplegg og drøftar det i lys av fagdidaktisk teori. Teksten skal ha eit omfang på minimum 2 sider. I tillegg må studentane ha delteke på eit seminar der dei gjev tilbakemelding på kvarandre sine tekstar i responsgrupper.
Det er 80% oppmøteplikt på førelesningane.
I emnet nyttar ein følgjande vurderingsformer:
Munnleg eksamen sett saman av ein førebudd presentasjonsdel og ein samtaledel. Studenten må leggje ein disposisjon for presentasjonsdel inn i Mitt UiB seinast ei veke før eksamen. Studenten får 15 minutt av totalt 30 til presentasjonen sin. Munnleg eksamen vert halden på engelsk. Munnleg eksamen kan bli digital.
Pensum utgjer omlag 350 sider av normal vanskegrad.
Litteraturlista vil vere klar innan 01.07 for haustsemesteret og 01.01 for vårsemesteret.",NA,NA
"uib","uib",NA,"##  Emnebeskrivelse
## Mål og innhald
Mål:
Emnet har som mål å gi studentane ei vidare innføring i fagfeltet engelsk fagdidaktikk.
Innhald:
Studiet tar opp tema som språk, tekst, kultur, kompetanse og danning, tilrettelegging for læring.
## Læringsutbyte
Studenten skal ved avslutta emne ha følgjande læringsutbyte definert i kunnskapar, ferdigheiter og generell kompetanse:
Kunnskapar:
Studenten
- har innsikt i språk, tekst og sjanger, og kan sjå desse i eit kulturperspektiv
- har innsikt i engelsk som danningsfag og ferdigheitsfag
- har innsikt i grunnleggjande ferdigheiter og læringsprosessar i engelskfaget
Ferdigheiter:
Studenten
- kan lage undervisningsopplegg der arbeidsformer og innhald er knytt til grunnleggjande forståing og innsikt i læringsprosessar i engelskfaget
- kan beskrive kjenneteikn på kompetanse i engelskfaget
Generell kompetanse:
Studenten
- kan uttrykkje seg munnleg og skriftleg på engelsk innan fagfeltet
## Studiepoeng, omfang
## Studienivå (studiesyklus)
## Undervisningssemester
## Undervisningsstad
Det er 80% oppmøteplikt på førelesingane.
I tillegg skal studentane i grupper leggje fram eit arbeid der dei presenterer eit undervisningsopplegg munnleg og drøftar dette i lys av fagdidaktisk teori. For at studenten skal kunne gå opp til eksamen, må dette arbeidet vere godkjent. Det er obligatorisk oppmøte på seminara der dette skal gjennomførast.
Studentar som er på utveksling dette semesteret får eit alternativt opplegg for obligatorisk aktivitet etter avtale med faglærar.
I emnet nyttar ein følgjande vurderingsformer:
Ikkje-rettleia oppgåve med oppgitt emne.
Lengda på oppgåva er 2000 ord (± 10 %), og den vert skriven på engelsk. Nærare retningsliner for oppgåver vert gitt i studiet.
Studentar som er på utveksling dette semesteret har same eksamen som dei andre studentane med mindre det fins kompatible fagdidaktikkeiningar der dei er.",NA,NA
"uib","uib",NA,"##  Emnebeskrivelse
## Mål og innhald
## Læringsutbyte
Studenten skal ved avslutta emne ha følgjande læringsutbyte definert i kunnskapar, ferdigheiter og generell kompetanse:
Kunnskapar
Studenten
- kan drøfte problemstillingar som gjeld vilkår for læring og kompetanseutvikling
- kan undersøke læring og/eller tilrettelegging for læring i eige klasserom i engelskundervisninga ved hjelp av fagkunnskap og fagdidaktisk teori, og presentere refleksjon over dette
- kan formidle og kommunisere faglege problemstillingar knytt til profesjonsutøving innan engelskfaget på eit fagleg avansert nivå
Ferdigheiter
Studenten
- kan vurdere læremiddel og arbeidsformer i engelskfaget i relasjon til dei ulike emna i skolefaget, og kan grunngi val og vurderingar i samsvar med eige fagsyn.
- kan rettleie elevane i deira læringsprosessar på grunnlag av teoriar om språk, tekst og kultur, og kunne vurdere elevane sitt læringsutbyte
Generell kompetanse
Studenten
- kan uttrykkje seg munnleg og skriftleg på engelsk innan fagfeltet
## Studiepoeng, omfang
## Studienivå (studiesyklus)
## Undervisningssemester
## Undervisningsstad
Eksamensforma er ei rettleia prosjektoppgåve på 4000 ord der studentane sjølve vel tema og problemstilling. Nærare retningsliner for oppgåva vert gitt i studiet.
Oppgåva vert skriven på engelsk.
Ved eksamen i det følgjande semesteret leverer studenten som har oppfylt krava om rettleiing i undervisningssemesteret den omarbeidde semesteroppgåva utan vidare rettleiing.",NA,NA
