"course_code_norm","year","hv","url"
"TYSK4091-1",2024,"","https://www.uio.no/studier/emner///TYSK4091/"
"EDID4009-1",2024,"","https://www.uio.no/studier/emner///EDID4009/"
"ENG4790-1",2024,"","https://www.uio.no/studier/emner///ENG4790/"
"FRA4193-1",2024,"","https://www.uio.no/studier/emner///FRA4193/"
"NAT5000-1",2024,"","https://www.uio.no/studier/emner/matnat/naturfagsenteret/NAT5000/"
"FDID4001-1",2024,"","https://www.uio.no/studier/emner///FDID4001/"
"PROMO8-1",2024,"","https://www.uio.no/studier/emner///PROMO8/"
"PROMO9-1",2024,"","https://www.uio.no/studier/emner///PROMO9/"
"PROMO5-1",2024,"","https://www.uio.no/studier/emner///PROMO5/"
"PROMO3-1",2024,"","https://www.uio.no/studier/emner///PROMO3/"
"NOR1000-1",2024,"","https://www.uio.no/studier/emner/hf/iln/NOR1000/"
"PROMO6-1",2024,"","https://www.uio.no/studier/emner///PROMO6/"
"PROMO7-1",2024,"","https://www.uio.no/studier/emner///PROMO7/"
"HIS1400L-1",2024,"","https://www.uio.no/studier/emner///HIS1400L/"
"FYS1120L-1",2024,"","https://www.uio.no/studier/emner///FYS1120L/"
"HIS1200L-1",2024,"","https://www.uio.no/studier/emner///HIS1200L/"
"PROF1015-1",2024,"","https://www.uio.no/studier/emner///PROF1015/"
"NOR3090-1",2024,"","https://www.uio.no/studier/emner/hf/iln/NOR3090/"
"PROMO10-1",2024,"","https://www.uio.no/studier/emner///PROMO10/"
"PROF3025-1",2024,"","https://www.uio.no/studier/emner///PROF3025/"
"PROMO2-1",2024,"","https://www.uio.no/studier/emner///PROMO2/"
"PROF1010-1",2024,"","https://www.uio.no/studier/emner///PROF1010/"
"PROF1005-1",2024,"","https://www.uio.no/studier/emner///PROF1005/"
"SVLEP1000-1",2024,"","https://www.uio.no/studier/emner///SVLEP1000/"
"SVLEP3090-1",2024,"","https://www.uio.no/studier/emner///SVLEP3090/"
"PROMO1-1",2024,"","https://www.uio.no/studier/emner///PROMO1/"
"PROMO4-1",2024,"","https://www.uio.no/studier/emner///PROMO4/"
"HIS4015L-1",2024,"","https://www.uio.no/studier/emner///HIS4015L/"
"FYS5930L-2",2024,"","https://www.uio.no/studier/emner///FYS5930L/"
"HIS4090L-1",2024,"","https://www.uio.no/studier/emner///HIS4090L/"
"MEK5930L-2",2024,"","https://www.uio.no/studier/emner///MEK5930L/"
"NOR4520-1",2024,"","https://www.uio.no/studier/emner/hf/iln/NOR4520/"
"NOR4091-1",2024,"","https://www.uio.no/studier/emner/hf/iln/NOR4091/"
"HIS4095L-1",2024,"","https://www.uio.no/studier/emner///HIS4095L/"
"GEO5930L-2",2024,"","https://www.uio.no/studier/emner///GEO5930L/"
"PROF4045-1",2024,"","https://www.uio.no/studier/emner///PROF4045/"
"RELDID4009-1",2024,"","https://www.uio.no/studier/emner///RELDID4009/"
"SPA4192-1",2024,"","https://www.uio.no/studier/emner///SPA4192/"
"BIOS5930L-2",2024,"","https://www.uio.no/studier/emner///BIOS5930L/"
"GEO5000-1",2024,"","https://www.uio.no/studier/emner///GEO5000/"
"MAT5930L-2",2024,"","https://www.uio.no/studier/emner///MAT5930L/"
"MBV5930L-2",2024,"","https://www.uio.no/studier/emner///MBV5930L/"
"BIOS5000-1",2024,"","https://www.uio.no/studier/emner///BIOS5000/"
"NATDID4009-1",2024,"","https://www.uio.no/studier/emner///NATDID4009/"
"KJM5050-1",2024,"","https://www.uio.no/studier/emner///KJM5050/"
"KJM5930L-2",2024,"","https://www.uio.no/studier/emner///KJM5930L/"
"FYS5810-1",2024,"","https://www.uio.no/studier/emner///FYS5810/"
"MDID4009-1",2024,"","https://www.uio.no/studier/emner///MDID4009/"
"SDID4009-1",2024,"","https://www.uio.no/studier/emner///SDID4009/"
"MAT5000-1",2024,"","https://www.uio.no/studier/emner///MAT5000/"
"NDID4009-1",2024,"","https://www.uio.no/studier/emner///NDID4009/"
"NOR4515-1",2024,"","https://www.uio.no/studier/emner/hf/iln/NOR4515/"
