"course_code_norm","year","hv","url"
"MGL3038-1",NA,NA,"https://www.uis.no/nb/course/MGL3038"
"LMAMAS-1",NA,NA,"https://www.uis.no/nb/course/LMAMAS"
"LKJMAS-1",NA,NA,"https://www.uis.no/nb/course/LKJMAS"
"LFYMAS-1",NA,NA,"https://www.uis.no/nb/course/LFYMAS"
"LMLIMAS-1",NA,NA,"https://www.uis.no/nb/course/LMLIMAS"
"MGLINT-1",NA,NA,"https://www.uis.no/nb/course/MGLINT"
"MGL4038-1",NA,NA,"https://www.uis.no/nb/course/MGL4038"
"MLI355-1",NA,NA,"https://www.uis.no/nb/course/MLI355"
"LENG115-1",NA,NA,"https://www.uis.no/nb/course/LENG115"
"LENG145-1",NA,NA,"https://www.uis.no/nb/course/LENG145"
"LENG175-1",NA,NA,"https://www.uis.no/nb/course/LENG175"
"LENG195-1",NA,NA,"https://www.uis.no/nb/course/LENG195"
"LENG271-1",NA,NA,"https://www.uis.no/nb/course/LENG271"
"LENG272-1",NA,NA,"https://www.uis.no/nb/course/LENG272"
"LENG290-1",NA,NA,"https://www.uis.no/nb/course/LENG290"
"LFYBAC-1",NA,NA,"https://www.uis.no/nb/course/LFYBAC"
"MGL2032-1",NA,NA,"https://www.uis.no/nb/course/MGL2032"
"MGL2033-1",NA,NA,"https://www.uis.no/nb/course/MGL2033"
"MGL2036-1",NA,NA,"https://www.uis.no/nb/course/MGL2036"
"LHIS145-1",NA,NA,"https://www.uis.no/nb/course/LHIS145"
"LHIS165-1",NA,NA,"https://www.uis.no/nb/course/LHIS165"
"LHIS175-1",NA,NA,"https://www.uis.no/nb/course/LHIS175"
"LHIS272-1",NA,NA,"https://www.uis.no/nb/course/LHIS272"
"LHIS290-1",NA,NA,"https://www.uis.no/nb/course/LHIS290"
"LKJBAC-1",NA,NA,"https://www.uis.no/nb/course/LKJBAC"
"LMABAC-1",NA,NA,"https://www.uis.no/nb/course/LMABAC"
"MGL4036-1",NA,NA,"https://www.uis.no/nb/course/MGL4036"
"MGL4037-1",NA,NA,"https://www.uis.no/nb/course/MGL4037"
"MGL1032-1",NA,NA,"https://www.uis.no/nb/course/MGL1032"
"MGL1033-1",NA,NA,"https://www.uis.no/nb/course/MGL1033"
"MGL1036-1",NA,NA,"https://www.uis.no/nb/course/MGL1036"
"LREL271-1",NA,NA,"https://www.uis.no/nb/course/LREL271"
"MGL3036-1",NA,NA,"https://www.uis.no/nb/course/MGL3036"
"MGL3037-1",NA,NA,"https://www.uis.no/nb/course/MGL3037"
"MGL0083-1",NA,NA,"https://www.uis.no/nb/course/MGL0083"
"LPRA50-1",NA,NA,"https://www.uis.no/nb/course/LPRA50"
