"institution_short","course_code_norm","year","hv","url","status","ok","bytes","sha1","course_name_no","fulltext"
"uis","MGL3038-1",NA,NA,"https://www.uis.no/nb/course/MGL3038",200,TRUE,35607,"5da6bec16e7a4ee3d33f2efd731c4c0e39c8c50d",NA,NA
"uis","LMAMAS-1",NA,NA,"https://www.uis.no/nb/course/LMAMAS",200,TRUE,51030,"d7aa06ceb9c47e0ed5d9b396a4e3c43806dcc9a7","Masteroppgave i matematikk - lektor (LMAMAS)","Emnekode

LMAMAS

Versjon

1

Vekting (stp)

30

Semester undervisningsstart

H<U+00F8>st

Antall semestre

2

Vurderingssemester

V<U+00E5>r

Undervisningsspr<U+00E5>k

Engelsk, Norsk

Tilbys av

Det teknisk-naturvitenskapelige fakultet,
Institutt for matematikk og fysikk

Det teknisk-naturvitenskapelige fakultet,

Institutt for matematikk og fysikk

Timeplan

Vis timeplan

Vis timeplan

Innhold

Studenten skal gjennom arbeidet med masteroppgaven f<U+00E5> erfaring med et forskningsprosjekt der metoder fra matematikk anvendes. Litteraturstudium og s<U+00E6>rpensum. Modellerings-, simulerings- og beregningsarbeid. Rapportskriving. Det konkrete innhold vil variere avhengig av den enkelte oppgave. Valg av tema for oppgaven med forbehold for relevant veilederkapasitet.

L<U+00E6>ringsutbytte

Kunnskap

Har oversikt over gjeldende internasjonal litteratur, vitenskapelig rapportering og etiske standarder for det aktuelle tema og kan forholde seg kritisk til ulike informasjonskilder.
Demonstrere fordypet innsikt i og forst<U+00E5>else av et bestemt tema.
Kunne sette det spesifikke tema i kontekst i det bredere fagfelt (matematikk), og ha innsikt i og kunne beskrive den underliggende teoribygning.

Ferdigheter

Bruke metoder i matematikk til <U+00E5> formulere og analysere en aktuell faglig problemstilling.
Utf<U+00F8>re litteraturs<U+00F8>k og forfatte en vitenskapelig rapport.
Presentere og formidle et selvstendig arbeid med bruk av fagomr<U+00E5>dets terminologi og uttrykksformer.
Kan anvende og analysere relevante metodeverkt<U+00F8>y og arbeidsm<U+00E5>ter, spesifikt matematisk modellering, beregninger og/eller numeriske metoder.
Kan utrede problemstillingen og analysere resultat og egen konklusjon i forhold til problemstilling.

Generell kompetanse

Forst<U+00E5> og f<U+00F8>lge de etiske standarder for vitenskapelig arbeid.
Kan utf<U+00F8>re og formidle omfattende selvstendig arbeid.
Kan analysere relevante teoretiske modeller eller studier st<U+00F8>ttet av forskningsresultat.
Har evne til refleksjon og kritisk vurdering av eget arbeid.
Kan forsvare h<U+00F8>y etisk atferd i faglige sammenhenger.
Kan benytte effektivt diverse relevant software, til beregninger og/eller skriftlig og muntlig presentasjon.

Forkunnskapskrav

Godkjent undervisningskompetanse i matematikk, og 120 stp i fag 1.

Eksamen / vurdering

Fagperson(er)

Fagl<U+00E6>rer:
David Ploog

Fagl<U+00E6>rer:
Eirik Eik Svanes

Fagl<U+00E6>rer:
Tore Selland Kleppe

Fagl<U+00E6>rer:
Michal Jakub Kapustka

Fagl<U+00E6>rer:
J<U+00F6>rn Schulz

Fagl<U+00E6>rer:
David Duncan Mcnutt

Fagl<U+00E6>rer:
Tyson Ritter

Fagl<U+00E6>rer:
Martin Gunnar Gulbrandsen

Emneansvarlig:
Alex Bentley Nielsen

Fagl<U+00E6>rer:
Sigbj<U+00F8>rn Hervik

Fagl<U+00E6>rer:
Alexander Ulanovskii

Fagl<U+00E6>rer:
Jan Terje Kval<U+00F8>y

Fagl<U+00E6>rer:
Alexander Rashkovskii

Instituttleder:
Bj<U+00F8>rn Henrik Auestad

Arbeidsformer

Selvstendig arbeid med litteratur. Individuell veiledning i det praktiske arbeidet og rapportskriving.

Emneevaluering

Fakultetet avgj<U+00F8>r om det skal gjennomf<U+00F8>res tidligdialog i alle emner eller i utvalgte grupper av emner. Form<U+00E5>let er <U+00E5> f<U+00E5> tilbakemeldinger fra studentene for forbedringer i semesteret. I tillegg skal det gjennomf<U+00F8>res en digital emneevaluering minst hvert tredje <U+00E5>r for <U+00E5> innhente studentenes erfaringer.

Litteratur

S<U+00F8>k etter pensumlitteratur i Leganto"
"uis","LKJMAS-1",NA,NA,"https://www.uis.no/nb/course/LKJMAS",200,TRUE,49233,"88b0bbb565b035ace9c45ede04f07c90d5b82485","Masteroppgave i kjemi - lektor (LKJMAS)","Emnekode

LKJMAS

Versjon

1

Vekting (stp)

30

Semester undervisningsstart

H<U+00F8>st

Antall semestre

2

Vurderingssemester

V<U+00E5>r

Undervisningsspr<U+00E5>k

Engelsk, Norsk

Tilbys av

Det teknisk-naturvitenskapelige fakultet,
Institutt for matematikk og fysikk

Det teknisk-naturvitenskapelige fakultet,

Institutt for matematikk og fysikk

Timeplan

Vis timeplan

Vis timeplan

Innhold

Studenten skal gjennom arbeidet med masteroppgaven f<U+00E5> erfaring med et forskningsprosjekt der kjemiske eksperiment og analyser og/ eller kjemisk fagdidaktikk anvendes. Litteraturstudium og s<U+00E6>rpensum. Laboratoriearbeid. Rapportskriving. Det konkrete innhold vil variere avhengig av den enkelte oppgave.

L<U+00E6>ringsutbytte

Kunnskap

Ha oversikt over gjeldende internasjonal litteratur, vitenskapelig rapportering og etiske standarder for det aktuelle tema og kan forholde seg kritisk til ulike informasjonskilder.
Demonstrere fordypet innsikt i og forst<U+00E5>else av et bestemt tema.
Kunne sette det spesifikke tema i kontekst i det bredere fagfelt (kjemi), og ha innsikt i og kunne beskrive relevant kunnskap og empiri.

Ferdigheter

Utf<U+00F8>re kjemiske eksperimenter og/eller bruke kjemibaserte fagdidaktiske metoder til <U+00E5> formulere og analysere en aktuell kjemisk eller kjemididaktisk problemstilling.
Utf<U+00F8>re litteraturs<U+00F8>k og forfatte en vitenskapelig rapport.
Presentere og formidle et selvstendig arbeid med bruk av fagomr<U+00E5>dets terminologi og uttrykksformer.
Kan anvende relevante analysemetoder og arbeidsm<U+00E5>ter.
Kan utrede problemstillingen og analysere oppn<U+00E5>dde resultater og forme en egen konklusjon i forhold til problemstilling.

Generell kompetanse

Forst<U+00E5> og f<U+00F8>lge de etiske standarder for vitenskapelig arbeid.
Kan utf<U+00F8>re og formidle omfattende selvstendig teoretisk eller praktisk arbeid.
Har evne til refleksjon og kritisk vurdering av eget arbeid.
Kan forsvare h<U+00F8>y etisk atferd i faglige sammenhenger.
Kunne benytte relevante dataprogrammer og databaser til litteraturs<U+00F8>k; datainnsamling, behandling og analyse; samt presentasjon og oppgaveskriving

Forkunnskapskrav

Godkjent undervisningskompetanse i fysikk, og 120 stp i fag 1.

Eksamen / vurdering

Fagperson(er)

Fagl<U+00E6>rer:
Gopalakrishnan Kumar

Fagl<U+00E6>rer:
Ilke Pala <U+00D8>zk<U+00F8>k

Fagl<U+00E6>rer:
Krista Michelle Kaster

Fagl<U+00E6>rer:
Steinar Sanni

Fagl<U+00E6>rer:
Magne Olav Sydnes

Fagl<U+00E6>rer:
Malcolm Andrew Kelland

Emneansvarlig:
K<U+00E5>re Bredeli J<U+00F8>rgensen

Fagl<U+00E6>rer:
Torleiv Bilstad

Arbeidsformer

Selvstendig arbeid med litteratur. Individuell veiledning i det praktiske arbeidet og rapportskriving.

Emneevaluering

Fakultetet avgj<U+00F8>r om det skal gjennomf<U+00F8>res tidligdialog i alle emner eller i utvalgte grupper av emner. Form<U+00E5>let er <U+00E5> f<U+00E5> tilbakemeldinger fra studentene for forbedringer i semesteret. I tillegg skal det gjennomf<U+00F8>res en digital emneevaluering minst hvert tredje <U+00E5>r for <U+00E5> innhente studentenes erfaringer.

Litteratur

S<U+00F8>k etter pensumlitteratur i Leganto"
"uis","LFYMAS-1",NA,NA,"https://www.uis.no/nb/course/LFYMAS",200,TRUE,50317,"a764637cef461710a7cc0b734646d77eb00b89ae","Masteroppgave i fysikk - lektor (LFYMAS)","Emnekode

LFYMAS

Versjon

1

Vekting (stp)

30

Semester undervisningsstart

H<U+00F8>st

Antall semestre

2

Vurderingssemester

V<U+00E5>r

Undervisningsspr<U+00E5>k

Engelsk, Norsk

Tilbys av

Det teknisk-naturvitenskapelige fakultet,
Institutt for matematikk og fysikk

Det teknisk-naturvitenskapelige fakultet,

Institutt for matematikk og fysikk

Timeplan

Vis timeplan

Vis timeplan

Innhold

Studenten skal gjennom arbeidet med masteroppgaven f<U+00E5> erfaring med et forskningsprosjekt der metoder fra fysikk anvendes. Litteraturstudium og s<U+00E6>rpensum. Modellerings-, simulerings- og beregningsarbeid. Rapportskriving. Det konkrete innhold vil variere avhengig av den enkelte oppgave. Valg af tema for oppgaven med forbehold for relevant veilederkapasitet.

L<U+00E6>ringsutbytte

Kunnskap

Har oversikt over gjeldende internasjonal litteratur, vitenskapelig rapportering og etiske standarder for det aktuelle tema og kan forholde seg kritisk til ulike informasjonskilder.
Demonstrere fordypet innsikt i og forst<U+00E5>else av et bestemt tema.
Kunne s<U+00E6>tte det spesifikke tema i kontekst i det bredere fagfelt (fysikk), og ha innsikt i og kunne beskrive den underliggende teoribygning.

Ferdigheter

Bruke metoder i fysikk til <U+00E5> formulere og analysere en aktuell faglig problemstilling.
Utf<U+00F8>re litteraturs<U+00F8>k og forfatte en vitenskapelig rapport.
Presentere og formidle et selvstendig arbeid med bruk av fagomr<U+00E5>dets terminologi og uttrykksformer.
Kan anvende og analysere relevante metodeverkt<U+00F8>y og arbeidsm<U+00E5>ter, spesifikt matematiske-fysisk modellering, beregninger og/eller numeriske metoder.
Kan utrede problemstillingen og analysere resultat og egen konklusjon i forhold til problemstilling.

Generell kompetanse

Forst<U+00E5> og f<U+00F8>lge de etiske standarder for vitenskapelig arbeid.
Kan utf<U+00F8>re og formidle omfattende selvstendig arbeid.
Kan analysere relevante teoretiske modeller eller studier st<U+00F8>ttet av forskningsresultat.
Har evne til refleksjon og kritisk vurdering av eget arbeid.
Kan forsvare h<U+00F8>y etisk atferd i faglige sammenhenger.
Kan benytte effektivt diverse relevant software, til beregninger og/eller skriftlig og muntlig presentasjon.

Forkunnskapskrav

Godkjent undervisningskompetanse i fysikk, og 120 st i fag 1.

Eksamen / vurdering

Fagperson(er)

Fagl<U+00E6>rer:
Tomas Brauner

Fagl<U+00E6>rer:
Anders Tranberg

Fagl<U+00E6>rer:
Ipsita Mandal

Fagl<U+00E6>rer:
Eero Aleksi Kurkela

Fagl<U+00E6>rer:
Alexander Karl Rothkopf

Fagl<U+00E6>rer:
Olena Zavorotynska

Fagl<U+00E6>rer:
Germano Nardini

Emneansvarlig:
Alex Bentley Nielsen

Fagl<U+00E6>rer:
Diana Lucia Quintero Castro

Fagl<U+00E6>rer:
Eva Rauls

Instituttleder:
Bj<U+00F8>rn Henrik Auestad

Arbeidsformer

Selvstendig arbeid med litteratur. Individuell veiledning i det praktiske arbeidet og rapportskriving.

Emneevaluering

Fakultetet avgj<U+00F8>r om det skal gjennomf<U+00F8>res tidligdialog i alle emner eller i utvalgte grupper av emner. Form<U+00E5>let er <U+00E5> f<U+00E5> tilbakemeldinger fra studentene for forbedringer i semesteret. I tillegg skal det gjennomf<U+00F8>res en digital emneevaluering minst hvert tredje <U+00E5>r for <U+00E5> innhente studentenes erfaringer.

Litteratur

S<U+00F8>k etter pensumlitteratur i Leganto"
"uis","LMLIMAS-1",NA,NA,"https://www.uis.no/nb/course/LMLIMAS",200,TRUE,35607,"af993f96821364301e3bb143ae76161e33086579",NA,NA
"uis","MGLINT-1",NA,NA,"https://www.uis.no/nb/course/MGLINT",200,TRUE,35598,"169ac8df91161140af7ce11c6ac26bc1574adb8a",NA,NA
"uis","MGL4038-1",NA,NA,"https://www.uis.no/nb/course/MGL4038",404,FALSE,NA,NA,NA,NA
"uis","MLI355-1",NA,NA,"https://www.uis.no/nb/course/MLI355",200,TRUE,35598,"eaded6fb8b3ae8acb36c131a2ae686e9258f215b",NA,NA
"uis","LENG115-1",NA,NA,"https://www.uis.no/nb/course/LENG115",404,FALSE,NA,NA,NA,NA
"uis","LENG145-1",NA,NA,"https://www.uis.no/nb/course/LENG145",404,FALSE,NA,NA,NA,NA
