"course_code_norm","year","hv","url"
"MG2EN8-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2EN8_1_2025_H%C3%98ST"
"MG2EN7-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2EN7_1_2025_H%C3%98ST"
"MG2EN6-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2EN6_1_2025_H%C3%98ST"
"MG2EN5-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2EN5_1_2025_H%C3%98ST"
"MG2EN4-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2EN4_1_2025_H%C3%98ST"
"MG1EN8-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG1EN8_1_2025_H%C3%98ST"
"MG1EN7-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG1EN7_1_2025_H%C3%98ST"
"MG1EN6-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG1EN6_1_2025_H%C3%98ST"
"MG1EN5-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG1EN5_1_2025_H%C3%98ST"
"MG1EN4-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG1EN4_1_2025_H%C3%98ST"
"MG2EN3-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2EN3_1_2025_H%C3%98ST"
"MG2EN2-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2EN2_1_2025_H%C3%98ST"
"MG2EN1-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2EN1_1_2025_H%C3%98ST"
"MG1EN3-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG1EN3_1_2025_H%C3%98ST"
"MG1EN2-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG1EN2_1_2025_H%C3%98ST"
"MG1EN1-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG1EN1_1_2025_H%C3%98ST"
"MG2PR4-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2PR4_1_2026_V%C3%85R"
"MG2RL1-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2RL1_1_2026_V%C3%85R"
"MG2RL2-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2RL2_1_2026_V%C3%85R"
"MG2RL3-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2RL3_1_2026_V%C3%85R"
"MG2SA1-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2SA1_1_2026_V%C3%85R"
"MG2SA2-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2SA2_1_2026_V%C3%85R"
"MG2SA3-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2SA3_1_2026_V%C3%85R"
"MG2SA4-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2SA4_1_2026_V%C3%85R"
"MG2UV1-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2UV1_1_2026_V%C3%85R"
"MG2UV2-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2UV2_1_2026_V%C3%85R"
"MG1SP1-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG1SP1_1_2026_V%C3%85R"
"MG2MH1-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2MH1_1_2026_V%C3%85R"
"MG2MH2-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2MH2_1_2026_V%C3%85R"
"MG2MU1-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2MU1_1_2026_V%C3%85R"
"MG2MU2-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2MU2_1_2026_V%C3%85R"
"MG2NA1-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2NA1_1_2026_V%C3%85R"
"MG2NA2-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2NA2_1_2026_V%C3%85R"
"MG2NO1-2",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2NO1_2_2026_V%C3%85R"
"MG2NO2-2",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2NO2_2_2026_V%C3%85R"
"MG2NO3-2",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2NO3_2_2026_V%C3%85R"
"MG2PE1-2",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2PE1_2_2026_V%C3%85R"
"MG2PE2-2",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2PE2_2_2026_V%C3%85R"
"MG2PE3-2",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2PE3_2_2026_V%C3%85R"
"MG2PP1-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2PP1_1_2026_V%C3%85R"
"MG2PP2-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2PP2_1_2026_V%C3%85R"
"MG2PR1-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2PR1_1_2026_V%C3%85R"
"MG2PR2-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2PR2_1_2026_V%C3%85R"
